product_ndc	text
24385-0479	Active ingredient (in each tablet) Diphenhydramine hydrochloride 25 mg
24385-0484	Active ingredient (in each caplet) Acetaminophen 500 mg
24385-0490	Active ingredient (in each tablet) Naproxen sodium 220 mg (naproxen 200 mg) (NSAID)* *nonsteroidal anti-inflammatory drug
24385-0493	Active ingredient (in each 10 mL) Dextromethorphan HBr, USP 30 mg
24385-0494	Active ingredient Ketotifen (0.025%) (equivalent to ketotifen fumarate 0.035%)
24385-0495	Active Ingredients (in each tablet) Docusate Sodium 50 mg Sennosides 8.6 mg Purpose Stool softener Stimulant Laxative
24385-0498	Active ingredient Oxymetazoline HCl 0.05%
24385-0499	Active ingredient (in each capsule) Solubilized ibuprofen equal to 200 mg ibuprofen (NSAID)* (present as the free acid and potassium salt) *nonsteroidal anti-inflammatory drug
24385-0505	Active ingredients (in each tablet) Docusate sodium 50 mg Sennosides 8.6 mg
24385-0517	Active ingredient (in each 5 mL teaspoonful) Brompheniramine maleate, USP 1 mg Phenylephrine HCl, USP 2.5 mg
24385-0518	Active ingredient (in each tablet) Loratadine 10 mg
24385-0519	Active ingredients (in each 5 mL teaspoonful) Brompheniramine maleate, USP 1 mg Dextromethorphan HBr, USP 5 mg Phenylephrine HCl, USP 2.5 mg
24385-0524	Active ingredient Terbinafine hydrochloride 1%
24385-0531	Active ingredient (in each 5 mL teaspoonful) Loratadine 5 mg
24385-0532	Active ingredient Phenol 1.4%
24385-0535	Active ingredient (in each tablet) Aspirin 81 mg (NSAID)* *nonsteroidal anti-inflammatory drug
24385-0540	ACTIVE INGREDIENT (IN EACH TABLET) Loratadine USP, 10 mg
24385-0541	Active ingredient (in each tablet) Aspirin 81 mg (NSAID)* *nonsteroidal anti-inflammatory drug
24385-0542	Active ingredient (in each caplet) Acetaminophen 325 mg Dextromethorphan HBr 10 mg Guaifenesin 200 mg Phenylephrine HCl 5 mg
24385-0543	Active ingredient (in each 5 mL teaspoonful) Loratadine 5 mg
24385-0544	Active ingredient (in each caplet) Acetaminophen 500 mg Caffeine 65 mg
24385-0546	Active ingredient (in each tablet) Ibuprofen 100 mg (NSAID)* *nonsteroidal anti-inflammatory drug
24385-0549	Active ingredient (in each 5 mL = teaspoonful) Ibuprofen 100 mg (NSAID)* *nonsteroidal anti-inflammatory drug Pseudoephedrine HCl 15 mg
24385-0550	Active ingredient (in each 1.25 mL) Ibuprofen 50 mg (NSAID)* *nonsteroidal anti-inflammatory drug
24385-0554	Active ingredient (in each caplet) Loperamide HCl 2 mg
24385-0578	Active ingredient (in each 10 mL) Dextromethorphan HBr, USP 20 mg Guaifenesin, USP 200 mg
24385-0590	Active ingredient Miconazole nitrate 2% (100 mg in each applicator)
24385-0597	Active ingredient (in each chewing piece) Nicotine polacrilex (equal to 2 mg nicotine)
24385-0598	Active ingredient (in each chewing piece) Nicotine polacrilex (equal to 4 mg nicotine)
24385-0599	Active ingredient (in each chewing piece) Nicotine polacrilex (equal to 4 mg nicotine)
24385-0601	Active ingredient (in each tablet) Caffeine 200 mg
24385-0602	Active ingredient (per tablet) Guaifenesin 400mg
24385-0603	Active ingredient (in each tablet) Phenylephrine HCl 10 mg
24385-0604	Active ingredient (in each tablet) Ibuprofen 200 mg (NSAID)* *nonsteroidal anti-inflammatory drug
24385-0606	Active ingredient Miconazole nitrate (200 mg in each suppository) Miconazole nitrate 2% (external cream)
24385-0608	Active ingredient (in each 15 mL Tablespoon) Magnesium hydroxide 1200 mg
24385-0618	Active ingredient (in each caplet) Acetaminophen 500 mg
24385-0619	Active ingredient Active ingredient Dimethicone 1.3%
24385-0623	Active ingredient (in each 5 mL = 1 teaspoonful) Ibuprofen 100 mg (NSAID)* *nonsteroidal anti-inflammatory drug
24385-0629	Active ingredient (in each caplet) Acetaminophen 650 mg
24385-0634	Active ingredient Piperonyl butoxide 4% Pyrethrum extract (equivalent to 0.33% pyrethrins)
24385-0647	Active ingredient (in each caplet) Ibuprofen 200 mg (NSAID)* *nonsteroidal anti-inflammatory drug
24385-0676	Active ingredient Undecylenic Acid, 25% w/v
24385-0677	Active ingredient Capsaicin 0.1%
24385-0685	Active Ingredient Mineral Oil
24385-0803	ACTIVE INGREDIENTS: Benzalkonium Chloride 0.13% Lidocaine HCL 0.5%
24385-0803	Active Ingredient: Purpose: Benzocaine, 6% w/v.................. Topical Anesthetic SD alcohol, 60% w/v.................. Antiseptic
24385-0803	Enter section text here
24385-0803	Active Ingredient: Purpose Isopropyl Alcohol, 70% v/v............... Antiseptic
24385-0803	Active Ingredient: Purified Water USP...q.s.
24385-0803	Active Ingredient: Purpose Benzalkonium Chloride 0.40%.......... First Aid Antiseptic
24385-0804	Active Ingredient: .........Bacitracin Zinc 400 units Neomycin Sulfate 5mg ( equivalent to 3.5 mg Neomycin base) Polymyxin B Sulfate 5000 units
24385-0804	Active Ingredient: Purified Water USP...q.s.
24385-0804	Active Ingredient: Ethyl Alcohol 62 percent
24385-0804	Active Ingredient: Purpose: Benzocaine, 6% w/v.................. Topical Anesthetic SD alcohol, 60% w/v.................. Antiseptic
24385-0804	Active Ingredient: Purpose Isopropyl Alcohol, 70% v/v............... Antiseptic
24385-0804	Active ingredient (in each tablet) Purpose Aspirin 81 mg (NSAID*). . . . . . . . . . . . . Analgesic/Antipyretic *nonsteroidal anti-inflammatory drug
24385-0804	Active Ingredient: Purpose Benzalkonium Chloride 0.40%.......... First Aid Antiseptic
24385-0804	ACTIVE INGREDIENTS: Benzalkonium Chloride 0.13% Lidocaine HCL 0.5%
24385-0807	Active ingredient Magnesium Sulfate USP (epsom salt)
24385-0903	Active ingredient (in each tablet) Bisacodyl USP 5 mg
24385-0904	Active ingredients (in each 10 mL) Dextromethorphan HBr, USP 20 mg Guaifenesin, USP 200 mg Phenylephrine HCl, USP 10 mg
24385-0905	Active ingredient (in each 5 mL = 1 teaspoonful) Ibuprofen 100 mg (NSAID)* *nonsteroidal anti-inflammatory drug
24385-0910	Active ingredient Magnesium Citrate 1.745g per fl oz
24385-0924	Active ingredient (in each tablet) Chlorpheniramine maleate 4 mg Phenylephrine HCl 10 mg
24385-0925	Active ingredient - (per tablet) Guaifenesin 400 mg Phenylephrine HCl 10 mg
24385-0937	Active ingredients (in each caplet) Diphenhydramine citrate 38 mg Ibuprofen 200 mg (NSAID)* *nonsteroidal anti-inflammatory drug
24385-0955	Active ingredient Carbamide Peroxide, 6.5%
24385-0958	Active ingredient Zincum Aceticum 2x Zincum Gluconicum 1x
24385-0959	Active ingredient (in each caplet) - Daytime Acetaminophen 325 mg Phenylephrine HCl 5 mg
24385-0959	Active ingredient (in each caplet) - Nighttime Acetaminophen 325 mg Chlorpheniramine maleate 2 mg Phenylephrine HCl 5 mg
24385-0961	Active ingredient (in each tablet) Chlorpheniramine maleate 4 mg Phenylephrine HCl 10 mg
24385-0962	Active ingredient (in each caplet) (Daytime) Acetaminophen 325 mg Dextromethorphan HBr 10 mg Phenylephrine HCl 5 mg
24385-0962	Active ingredient (in each caplet) (Nighttime) Acetaminophen 325 mg Chlorpheniramine maleate 2 mg Dextromethorphan HBr 10 mg Phenylephrine HCl 5 mg
24385-0963	Active ingredient (in each caplet) (NIGHT) Acetaminophen 325 mg Chlorpheniramine maleate 2 mg Dextromethorphan HBr 10 mg Phenylephrine HCl 5 mg
24385-0963	Active ingredient (in each caplet) (DAY) Acetaminophen 325 mg Dextromethorphan HBr 10 mg Phenylephrine HCl 5 mg
24385-0975	Active ingredient (in each lozenge) Nicotine polacrilex, 2 mg (nicotine)
24385-0976	Active ingredient (in each lozenge) Nicotine polacrilex, 4 mg (nicotine)
24385-0980	ACTIVE INGREDIENT Benzalkonium chloride, 0.13%
24385-0982	ACTIVE INGREDIENTS Benzocaine 6% Isopropyl alcohol 70% v/v
24385-0984	Active ingredients (in each 5 mL = 1 teaspoon) Acetaminophen 160 mg Chlorpheniramine maleate 1 mg Dextromethorphan HBr 5 mg Phenylephrine HCl 2.5 mg
24385-0986	Active ingredient (in each 5 mL = 1 teaspoon) Acetaminophen 160 mg Dextromethorphan HBr 5 mg
24385-0987	Active ingredient (in each caplet) (For Pain Relief) Acetaminophen 500 mg
24385-0987	Active ingredient (in each caplet) (For Pain Relief PM) Acetaminophen 500 mg Diphenhydramine HCl 25 mg
24385-0988	Active ingredient (in each packet) Acetaminophen 650 mg Phenylephrine hydrochloride 10 mg
24385-0998	Active ingredient (in each tablet) Cetirizine HCl 10 mg
24509-0055	ACTIVE INGREDIENTS ZINC OXIDE 19.00 %, OCTINOXATE (ETHYLHEXYL METHOXYCINNAMATE) 7.50 %
24509-0056	ACTIVE INGREDIENTS ZINC OXIDE 19.00 %, OCTINOXATE (ETHYLHEXYL METHOXYCINNAMATE) 7.50 %
24509-0057	ACTIVE INGREDIENTS ZINC OXIDE 19.00 %, OCTINOXATE (ETHYLHEXYL METHOXYCINNAMATE) 7.50 %
24509-0058	ACTIVE INGREDIENTS ZINC OXIDE 19.00 %, OCTINOXATE (ETHYLHEXYL METHOXYCINNAMATE) 7.50 %
25237-0013	Active Ingredient Purpose Pyrithione Zinc 1.2 percent Antidandruff
25237-0517	Active Ingredient: Pyrithione Zinc 1.2%
26509-0002	Active ingredient Alcohol 67 percent
26509-0003	Active ingredient Benzalkonium chloride 0.12%
26509-0004	Active Ingredient Benzalkonium Chloride 0.13%
26509-0005	Active Ingredient Alcohol 67%
26509-0007	Active Ingredient Dimethicone 1.25 percent
26509-0007	Active ingredient Alcohol 67 percent
26509-0009	Active Ingredient Dimethicone 1.25 percent
27808-0001	ACTIVE INGREDIENT Active ingredient in each 5 mL teaspoonful Cetirizine Hydrochloride 5 mg
27808-0001	ACTIVE INGREDIENT(in each 5 mL) Cetirizine Hydrochloride 5 mg
27808-0007	ACTIVE INGREDIENT (in each 1.25 mL) Ibuprofen 50 mg (NSAID)* *nonsteroidal anti-inflammatory drug
28595-0300	Active Ingredients Purpose Each tablet contains: Brompheniramine Maleate 4 mg Antihistamine Phenylephrine HCl 10 mg Nasal Decongestant
28595-0780	Active ingredients (in each tablet) Purpose Acetaminophen 325 mg Pain Reliever Pyrilamine Maleate 25 mg Antihistamine
28595-0800	Active ingredients (in each 5 mL teaspoonful) Purpose Brompheniramine Maleate 4 mg Antihistamine Dextromethorphan HBr 15 mg Antitussive Phenylephrine HCl 7.5 mg Nasal Decongestant
28595-0801	Active ingredients (in each 1 mL dropperful) Triprolidine HCl 0.938 mg
28595-0802	Active ingredients (in each 5 mL teaspoonful) Triprolidine HCl 2.5 mg
28595-0803	Active ingredients (in each 5 mL teaspoonful) Purpose Phenylephrine HCl 10 mg Decongestant Triprolidine HCl 2.5 mg Antihistamine
28595-0804	Active ingredients (in each 5 mL teaspoonful) Purpose Dextromethorphan HBr 20 mg Cough Suppressant Phenylephrine HCl 10 mg Decongestant Triprolidine HCl 2.5 mg Antihistamine
28595-0900	Active Ingredients Each tablet contains: Purpose Brompheniramine Maleate 4 mg Antihistamine Phenylephrine HCl 10 mg Nasal Decongestant
28595-0905	Active ingredients (in each tablet) Purpose Guaifenesin 395 mg Expectorant Phenylephrine HCl 10 mg Nasal Decongestant
28595-0906	Active ingredients (in each tablet) Purpose Dextromethorphan HBr 15 mg Cough Suppressant Guaifenesin 395 mg Expectorant Phenylephrine HCl 10 mg Nasal Decongestant
29300-0133	OTC - ACTIVE INGREDIENT SECTION (IN EACH TABLET) For 5 mg Cetirizine HCl USP 5 mg For 10 mg Cetirizine HCl USP10 mg
29300-0134	OTC - ACTIVE INGREDIENT SECTION (IN EACH TABLET) For 5 mg Cetirizine HCl USP 5 mg For 10 mg Cetirizine HCl USP10 mg
29300-0330	OTC - ACTIVE INGREDIENT SECTION (IN EACH TABLET) For 5 mg Cetirizine HCl USP 5 mg For 10 mg Cetirizine HCl USP 10 mg
29300-0340	OTC - ACTIVE INGREDIENT SECTION (IN EACH TABLET) For 5 mg Cetirizine HCl USP 5 mg For 10 mg Cetirizine HCl USP 10 mg
33992-0003	Active Ingredients Salicylic acid 0.5%
33992-0004	Active Ingredient / Purpose Salicylic acid 0.5% / Acne treatment
33992-0029	Active ingredient Magnesium citrate 1.745g per fl. oz.
33992-0054	Active Ingredient Purpose Dimethicone 1/3% ...... Skin Protectant
33992-0113	Active ingredient (in each softgel) Simethicone 125 mg
33992-0527	Active ingredients (in each caplet) Acetaminophen 325 mg Guaifenesin 200 mg Phenylephrine HCl 5 mg
35378-0002	Active Ingredients Adrenalinum 15x Aloe socotrina 15x Arsenicum album 15x Baptisia tinctoria 15x Berberis aquifolium 15x Berberis vulgaris 15x Bryonia 15x Chelidonium majus 15x Crotalus horridus 15x Digitalis purpurea 15x Ferrum metallicum 15x Glonoinum 15x Glycyrrhiza glabra 15x Hydrocotyle asiatica 15x Iodium 15x Iris versicolor 15x Lachesis mutus 15x Lycopodium clavatum 15x Natrum muriaticum 15x Nux vomica 15x Rhus toxicodendron 15x Ruta graveolens 15x Thuja occidentalis 15x Thyroidinum 15x Echinacea 3x Lappa major 3x Solidago virgaurea 3x Taraxacum officinale 3x
35378-0004	Active Ingredients Aconitum napellus 15x Argentum nitricum 15x Aurum metallicum 15x Baptisia 15x Bryonia 15x Chelidonium majus 15x Cimicifuga racemosa 15x Conium maculatum 15x Gelsemium sempervirens 15x Ignatia amara 15x Kali carbonicum 15x Lachesis mutus 15x Lilum tigrinum 15x Lycopodium clavatum 15x Natrum carbonicum 15x Natrum muriaticum 15x Phosphoricum acidum 15x Phosphorus 15x Picricum acidum 15x Plumbum metallicum 15x Sepia 15x Staphysagria 15x Stramonium 15x Thuja occidentalis 15x Zincum metallicum 15x Chamomilla 3x Hypericum perforatum 3x Valeriana officinalis 3x
35378-0006	Active Ingredients Anacardium orientale 15x Antimonium crudum 15x Argentum nitricum 15x Berberis vulgaris 15x Bryonia 15x Chelidonium majus 15x Digitalis purpurea 15x Graphites 15x Humulus lupulus 15x Iris versicolor 15x Kali carbonicum 15x Lycopodium clavatum 15x Natrum carbonicum 15x Natrum sulphuricum 15x Nux vomica 15x Pulsatilla 15x Rhus toxicodendron 15x Scutellaria laterifolia 15x Sepia 15x Stramonium 15x Chamomilla 3x Passiflora incarnata 3x Valeriana officinalis 3x
35378-0008	Active Ingredients Uricum acidum 15x Benzoicum acidum 10x Berberis vulgaris 10x Bryonia 10x Cantharis 10x Carduus benedictus 10x Ceanothus americanus 10x Chelidonium majus 10x Chionanthus virginica 10x Cinchona officinalis 10x Dioscorea villosa 10x Dolichos pruriens 10x Iris versicolor 10x Juniperus communis 10x Nux vomica 10x Ptelea trifoliata 10x Taraxacum officinale 10x Carduus marianus 3x Cynara scolymus 3x Solidago virgaurea 3x Taraxacum officinale 3x
35573-0006	Active ingredients (in each teaspoonful (5 mL)) Purpose Codeine Phosphate 6.3 mg Antitussive Guaifenesin 100 mg Expectorant
36800-0001	Active Ingredients Sodium fluoride 0.0221% (0.01% fluoride ion)
36800-0002	Active ingredients (in each 118 mL delivered dose) Dibasic sodium phosphate 7 g Monobasic sodium phosphate 19 g
36800-0003	Active ingredients (in each tablet) Docusate sodium 50 mg Sennosides 8.6 mg
36800-0004	Active ingredients Sodium fluoride 0.05% (0.02% w/v fluoride ion) Purpose Anticavity rinse
36800-0007	Active ingredient (in each softgel) Docusate Sodium 100 mg Purpose Stool softener
36800-0008	Active ingredient (in each 0.8 mL) Acetaminophen 80 mg
36800-0009	Active ingredients Salicylic acid (2%)
36800-0010	Active ingredient (in each caplet) Acetaminophen 500 mg
36800-0011	Povidone-iodine, 10% ( equivalent to 1% available iodine)
36800-0013	Active ingredients (in each tablet) Loratadine 5 mg Pseudoephedrine sulfate 120 mg
36800-0014	Active ingredient (in each caplet) Acetaminophen 325 mg Chlorpheniramine maleate 2 mg Dextromethorphan HBr 10 mg Phenylephrine HCl 5 mg
36800-0015	active ingredients Cetylpyridinium Chloride 0.07%
36800-0017	Active ingredients Lanolin 15.5% Petrolatum 53.4%
36800-0018	Active ingredient Hydrocortisone 1%
36800-0020	Active Ingredients Zinc oxide 40%
36800-0022	Active ingredient (in each tablet) Cimetidine 200 mg
36800-0025	ACTIVE INGREDIENT PYRITHIONE ZINC 1% PURPOSE ANTI-DANDRUFF
36800-0027	Active ingredient (in each tablet) Aspirin 81 mg (NSAID)* *nonsteroidal anti-inflammatory drug
36800-0029	Active ingredient (in each chewing piece) Nicotine polacrilex (equal to 2 mg nicotine)
36800-0030	Active ingredient (in each tablet) Aspirin 81 mg (NSAID)* *nonsteroidal anti-inflammatory drug
36800-0041	Active ingredient (in each 15 mL tablespoon) Acetaminophen 500 mg Dextromethorphan HBr 15 mg Doxylamine succinate 6.25 mg
36800-0042	Active Ingredients Camphor 4% Menthol 10% Methyl Salicylate 30%
36800-0044	Active ingredient (in each softgel) Docusate sodium 100 mg
36800-0046	Active ingredient (in each gelcap) Acetaminophen 500 mg
36800-0047	Active ingredient (in each tablet) Ranitidine 150 mg (as ranitidine hydrochloride 168 mg)
36800-0050	Active ingredient (in each caplet) Diphenhydramine citrate 38 mg Ibuprofen 200 mg (NSAID)* *nonsteroidal anti-inflammatory drug
36800-0051	Active ingredient Hydrocortisone 1%
36800-0052	Active ingredient Tolnaftate 1%
36800-0054	Active ingredient (in each tablet) Pseudoephedrine HCl 120 mg
36800-0055	Active ingredient (in each caplet) Naproxen sodium 220 mg (naproxen 200 mg) (NSAID)* *nonsteroidal anti-inflammatory drug
36800-0056	Active ingredients (each gram contains) Purpose Bacitracin zinc 500 units First aid antibiotic Neomycin sulfate 3.5 mg First aid antibiotic Polymyxin B sulfate 10,000 units First aid antibiotic Pramoxine hydrochloride 10 mg External analgesic
36800-0057	Active ingredient (in each 1.25 mL) Ibuprofen 50 mg (NSAID)* *nonsteroidal anti-inflammatory drug
36800-0060	Active Ingredient Mineral Oil
36800-0061	Active ingredient (in each caplet) Diphenhydramine HCl 50 mg
36800-0062	Active ingredients Purpose Clotrimazole USP 2% (100 mg in each applicatorful) Vaginal Antifungal Clotrimazole USP 2% (external cream) Vaginal Antifungal
36800-0063	Active ingredents Calamine 8% Zinc oxide 8%
36800-0066	ACTIVE INGREDIENT TRICLOSAN 0.6%
36800-0067	Active Ingredient Triclosan 0.6%
36800-0068	Active ingredient Purpose Witch Hazel 50% ...............................................................Astringent
36800-0069	active ingredients White Petrolatum USP (100%)
36800-0070	Active ingredient (in each applicator) Miconazole Nitrate USP 4% (200 mg in each applicator)
36800-0072	Active ingredients Eucalyptol 0.092% Menthol 0.042% Methyl salicylate 0.060% Thymol 0.064% Purpose Antigingivitis, Antiplaque
36800-0074	Active ingredient (in each tablet) Ibuprofen 200 mg (NSAID)* *nonsteroidal anti-inflammatory drug
36800-0076	ACTIVE INGREDIENT TRICLOSAN 0.6 PERCENT
36800-0078	ACTIVE INGREDIENT ETHYL ALCOHOL 70% V/V PURPOSE ANTISEPTIC
36800-0079	ACTIVE INGREDIENT ETHYL ALCOHOL 70% V/V PURPOSE ANTISEPTIC
36800-0080	Active ingredient Terbinafine hydrochloride 1%
36800-0081	Active ingredient Miconazole nitrate (200 mg in each suppository) Miconazole nitrate 2% (external cream)
36800-0083	Active ingredient (in each caplet) Ibuprofen, USP 200 mg (NSAID)* Pseudoephedrine HCl, USP 30 mg *nonsteroidal anti-inflammatory drug
36800-0086	Active ingredient (in each tablet) Bisacodyl 5 mg
36800-0089	Active ingredient (each gram contains) Bacitracin Zinc 500 units
36800-0090	Active ingredients for Nighttime (in each softgel) Acetaminophen 325 mg Dextromethorphan HBr 15 mg Doxylamine succinate 6.25 mg
36800-0090	Active ingredients for DAYTIME (in each softgel) Acetaminophen 325 mg Dextromethorphan HBr 10 mg Phenylephrine HCl 5 mg
36800-0090	Active ingredient for Daytime (in each softgel) Acetaminophen 325 mg Dextromethorphan HBr 10 mg Phenylephrine HCl 5 mg
36800-0090	Active ingredients for NIGHTTIME (in each softgel) Acetaminophen 325 mg Dextromethorphan HBr 15 mg Doxylamine succinate 6.25 mg
36800-0091	Active ingredient Menthol 0.15%
36800-0092	Active ingredient (in each 5 mL teaspoonful) Loratadine 5 mg
36800-0094	Active ingredient (in each tablet) Phenylephrine hydrochloride 10 mg
36800-0096	Active ingredients (in each packet) Acetaminophen 650 mg Dextromethorphan hydrobromide 20 mg Phenylephrine hydrochloride 10 mg
36800-0098	Active ingredients (in each softgel) Acetaminophen 325 mg Phenylephrine HCl 5 mg Purpose Pain reliever Nasal decongestant
36800-0099	Active ingredient Hydrocortisone 1%
36800-0100	Active Ingredient Zinc Oxide 20%
36800-0101	Active ingredients (in each softgel) Acetaminophen 325 mg Doxylamine Succinate 6.25 mg Phenylephrine HCl 5 mg
36800-0102	Active ingredients in Nighttime (in each softgel) Acetaminophen 325 mg Doxylamine succinate 6.25 mg Phenylephrine HCl 5 mg
36800-0102	Active ingredients in Daytime (in each softgel) Acetaminophen 325 mg Phenylephrine HCl 5 mg
36800-0103	PHENAZOPYRIDINE HYDROCHLORIDE 97.5 MG
36800-0105	Active ingredient (in each 5 mL = 1 teaspoon) Acetaminophen 160 mg
36800-0108	ACTIVE INGREDIENT BENZALKONIUM CHLORIDE 0.13% PURPOSE ANTIBACTERIAL
36800-0109	ACTIVE INGREDIENT BENZALKONIUM CHLORIDE 0.13% PURPOSE ANTIBACTERIAL
36800-0110	Active ingredient (in each bottle when mixed with packet) Povidone-iodine 0.3%
36800-0111	Active ingredient (in each softgel) Docusate Sodium 100 mg
36800-0112	ACTIVE INGREDIENT BENZALKONIUM CHLORIDE 0.13% PURPOSE ANTIBACTERIAL
36800-0114	ACTIVE INGREDIENT BENZALKONIUM CHLORIDE 0.13% PURPOSE ANTIBACTERIAL
36800-0117	Active ingredient (in each capsule) Lansoprazole 15 mg
36800-0120	Active ingredient (in each tablet) Bisacodyl USP 5 mg
36800-0124	ACTIVE INGREDIENT BENZALKONIUM CHLORIDE 0.13% PURPOSE ANTIBACTERIAL
36800-0125	Active ingredient (in each softgel) Simethicone 180 mg
36800-0130	Active ingredient (in each 5 mL = 1 teaspoon) Acetaminophen 160 mg
36800-0133	Active ingredients (in each packet) Acetaminophen 650 mg Pheniramine maleate 20 mg Phenylephrine hydrochloride 10 mg
36800-0136	Active Ingredients Bismuth subsalicylate 262 mg
36800-0138	Active ingredient (in each tablet) Sennosides USP, 25 mg
36800-0139	Active ingredient (in each tablet) Chlorpheniramine maleate 4 mg Phenylephrine HCl 10 mg
36800-0140	Active ingredient (in each caplet) Naproxen sodium 220 mg (naproxen 200 mg) (NSAID)* *nonsteroidal anti-inflammatory drug
36800-0141	Active ingredient (in each tablet) Famotidine 10 mg
36800-0143	Active ingredients (in each softgel) Acetaminophen 325 mg Dextromethorphan HBr 15 mg Doxylamine succinate 6.25 mg
36800-0145	Active ingredients (in each caplet) Acetaminophen 325 mg Guaifenesin 200 mg Phenylephrine HCl 5 mg
36800-0147	Active ingredients (in each caplet) Acetaminophen 250 mg Aspirin 250 mg (NSAID)* Caffeine 65 mg *nonsteroidal anti-inflammatory drug
36800-0148	Active ingredients (in each lozenge) Purpose Dextromethorphan HBr 5 mg Cough suppressant Menthol 5 mg Oral pain reliever
36800-0149	Active ingredients (in each lozenge) Purpose Dextromethorphan HBr 5 mg Cough suppressant Menthol 5 mg Oral pain reliever
36800-0150	Active ingredient (in each softgel) Docusate Sodium 250 mg Purpose Stool softener
36800-0151	Active ingredient (in each caplet) Diphenhydramine HCl 25 mg
36800-0152	Active ingredient Purpose Menthol 5%........................................................Topical Analgesic
36800-0153	Active Ingredient Pyrithione Zinc Purpose Anti-dandruff
36800-0154	Active Ingredients Acetaminophen 325 mg Diphenhydramine HCl 12.5 mg Phenylephrine HCI 5 mg
36800-0155	Active ingredient Purpose Menthol 5%.......................................................................Topical Analgesic
36800-0160	ACTIVE INGREDIENT TRICLOSAN 0.46%
36800-0161	Active ingredient (in each 5 mL) Acetaminophen 160 mg
36800-0162	Active ingredients (in each tablet) Docusate sodium 50 mg Sennosides 8.6 mg
36800-0163	Active Ingredient Triclosan 0.46%
36800-0165	Active Ingredients (in each capsule) Diphenhydramine hydrochloride 25 mg Solubilized ibuprofen equal to 200 mg ibuprofen (NSAID)* (present as the free acid and potassium salt) *non-steroidal anti-inflammatory drug
36800-0166	Active ingredient (in each 5 mL = 1 teaspoonful) Ibuprofen 100 mg (NSAID)* *nonsteroidal anti-inflammatory drug
36800-0168	Active Ingredient Triclosan 0.6%
36800-0169	Active Ingredient Triclosan 0.46%
36800-0170	Active ingredient (in each chewing piece) Nicotine polacrilex (equal to 4 mg nicotine)
36800-0173	Active ingredient Piperonyl butoxide 4% Pyrethrum extract (equivalent to 0.33% pyrethrins)
36800-0175	Active ingredient (in each 5 mL = 1 teaspoon) Acetaminophen 160 mg
36800-0176	Active ingredient (in each extended release tablet) Cetirizine HCl 5 mg Pseudoephedrine HCl 120 mg
36800-0177	Active Ingredient Triclosan 0.46%
36800-0178	ACTIVE INGREDIENT TRICLOSAN 0.6%
36800-0179	Active ingredient (in each tablet) Calcium carbonate USP 750mg
36800-0181	Active ingredient (in each dose) Polyethylene Glycol 3350, 17 g (in each level scoop)
36800-0183	Active ingredient (in each caplet) Ibuprofen 200 mg (NSAID)* *nonsteroidal anti-inflammatory drug
36800-0184	ACTIVE INGREDIENT TRICLOSAN 0.46%
36800-0185	Active ingredients / Purpose Potassium nitrate 5%....................................................Antihypersensitivity Sodium fluoride 0.24% (0.15% w/v fluoride ion)............Anticavity
36800-0186	Active ingredients / Purpose Potassium nitrate 5%....................................................Antihypersensitivity Sodium fluoride 0.15% w/v fluoride ion.........................Anticavity
36800-0187	Active ingredients (in each caplet) Acetaminophen 500 mg Caffeine 60 mg Pyrilamine maleate 15 mg
36800-0188	Active ingredients Mineral oil 14% Petrolatum 74.9% Phenylephrine HCl 0.25%
36800-0189	Active ingredient (in each 5 mL teaspoonful) Cetirizine HCl 5 mg
36800-0190	Active ingredient (in each tablet) Bisacodyl USP 5 mg
36800-0194	Active ingredient (in each tablet) Famotidine 20 mg
36800-0195	ACTIVE INGREDIENT TRICLOSAN 0.46% PURPOSE ANTIBACTERIAL
36800-0198	Active ingredient (in each capsule) Solubilized ibuprofen equal to 200 mg ibuprofen (NSAID)* (present as the free acid and potassium salt) *nonsteroidal anti-inflammatory drug
36800-0200	Active ingredient (in each 30 mL dose cup) Diphenhydramine HCl 50 mg
36800-0202	Active ingredient (in each 5 mL = 1 teaspoonful) Acetaminophen 160 mg
36800-0205	Active ingredient 2.5% Coal Tar Topical Solution USP (0.5% Coal Tar)
36800-0206	Active ingredient (in each chewing piece) Nicotine polacrilex (equal to 2 mg nicotine)
36800-0209	Active ingredient Sodium Monofluorophosphate 0.76% w/w (0.15% w/v fluoride ion)..................................Purpose: Anticavity
36800-0210	Active Ingredients Eucalyptol 0.092% Menthol 0.042% Methyl salicylate 0.060% Thymol 0.064% Purpose Antigingivitis
36800-0211	Active ingredient (in each capsule) Cetirizine HCl 10 mg
36800-0212	Active ingredient (in each tablet) Loratadine 10 mg
36800-0213	Active ingredient Sodium fluoride 0.05% (0.02% w/v fluoride ion) Purpose Anticavity rinse
36800-0214	Active ingredient Hydrogen peroxide 3%
36800-0215	Active ingredient (in each softgel) Acetaminophen 325 mg Dextromethorphan HBr 10 mg Phenylephrine HCl 5 mg
36800-0216	Active ingredient (in each caplet) Ibuprofen USP, 200 mg (NSAID)* *nonsteroidal anti-inflammatory drug
36800-0218	Active Ingredients Pramoxind HCl 1% Zinc acetate 0.1%
36800-0223	Active ingredient Cetylpyridinium chloride 0.07% Purpose Antigingivitis, Antiplaque
36800-0224	Active ingredient (in each caplet) Loperamide HCl 2 mg
36800-0225	Active ingredient (in each tablet) Chlorpheniramine maleate 4 mg
36800-0227	Active ingredient (in each tablet) Acetaminophen 500 mg
