product_ndc	type_name
0173-0699	Human Prescription Drug
0173-0712	Human Prescription Drug
0173-0714	Human Prescription Drug
0173-0715	Human Prescription Drug
0173-0716	Human Prescription Drug
0173-0717	Human Prescription Drug
0173-0718	Human Prescription Drug
0173-0719	Human Prescription Drug
0173-0720	Human Prescription Drug
0173-0722	Human Prescription Drug
0173-0735	Human Prescription Drug
0173-0736	Human Prescription Drug
0173-0737	Human Prescription Drug
0173-0739	Human Prescription Drug
0173-0740	Human Prescription Drug
0173-0741	Human Prescription Drug
0173-0750	Human Prescription Drug
0173-0752	Human Prescription Drug
0173-0753	Human Prescription Drug
0173-0754	Human Prescription Drug
0173-0755	Human Prescription Drug
0173-0756	Human Prescription Drug
0173-0757	Human Prescription Drug
0173-0758	Human Prescription Drug
0173-0759	Human Prescription Drug
0173-0760	Human Prescription Drug
0173-0761	Human Prescription Drug
0173-0772	Human Prescription Drug
0173-0774	Human Prescription Drug
0173-0776	Human Prescription Drug
0173-0777	Human Prescription Drug
0173-0778	Human Prescription Drug
0173-0779	Human Prescription Drug
0173-0780	Human Prescription Drug
0173-0781	Human Prescription Drug
0173-0783	Human Prescription Drug
0173-0790	Human Prescription Drug
0173-0791	Human Prescription Drug
0173-0792	Human Prescription Drug
0173-0794	Human Prescription Drug
0173-0804	Human Prescription Drug
0173-0806	Human Prescription Drug
0173-0809	Human Prescription Drug
0173-0810	Human Prescription Drug
0173-0812	Human Prescription Drug
0173-0813	Human Prescription Drug
0173-0814	Human Prescription Drug
0173-0817	Human Prescription Drug
0173-0821	Human Prescription Drug
0173-0822	Human Prescription Drug
0173-0823	Human Prescription Drug
0173-0824	Human Prescription Drug
0173-0826	Human Prescription Drug
0173-0828	Human Prescription Drug
0173-0829	Human Prescription Drug
0173-0830	Human Prescription Drug
0173-0831	Human Prescription Drug
0173-0832	Human Prescription Drug
0173-0834	Human Prescription Drug
0173-0835	Human Prescription Drug
0173-0836	Human Prescription Drug
0173-0837	Human Prescription Drug
0173-0838	Human Prescription Drug
0173-0839	Human Prescription Drug
0173-0840	Human Prescription Drug
0173-0841	Human Prescription Drug
0173-0842	Human Prescription Drug
0173-0843	Human Prescription Drug
0173-0844	Human Prescription Drug
0173-0845	Human Prescription Drug
0173-0846	Human Prescription Drug
0173-0847	Human Prescription Drug
0173-0848	Human Prescription Drug
0173-0849	Human Prescription Drug
0173-0858	Human Prescription Drug
0173-0859	Human Prescription Drug
0173-0861	Human Prescription Drug
0173-0863	Human Prescription Drug
0173-0864	Human Prescription Drug
0173-0869	Human Prescription Drug
0173-0873	Human Prescription Drug
0173-0874	Human Prescription Drug
0173-0876	Human Prescription Drug
0173-0945	Human Prescription Drug
0173-0947	Human Prescription Drug
0173-0949	Human Prescription Drug
0173-0953	Human Prescription Drug
0173-0991	Human Prescription Drug
0178-0089	Human Prescription Drug
0178-0101	Human Prescription Drug
0178-0320	Human OTC Drug
0178-0330	Human OTC Drug
0178-0340	Human OTC Drug
0178-0345	Human OTC Drug
0178-0348	Human OTC Drug
0178-0350	Human OTC Drug
0178-0370	Human OTC Drug
0178-0455	Human Prescription Drug
0178-0460	Human Prescription Drug
0178-0465	Human Prescription Drug
0178-0470	Human Prescription Drug
0178-0475	Human Prescription Drug
0178-0480	Human Prescription Drug
0178-0485	Human Prescription Drug
0178-0490	Human Prescription Drug
0178-0495	Human Prescription Drug
0178-0499	Human Prescription Drug
0178-0500	Human Prescription Drug
0178-0582	Human Prescription Drug
0178-0600	Human Prescription Drug
0178-0610	Human Prescription Drug
0178-0615	Human Prescription Drug
0178-0620	Human Prescription Drug
0178-0630	Human Prescription Drug
0178-0640	Human Prescription Drug
0178-0650	Human Prescription Drug
0178-0716	Human Prescription Drug
0178-0796	Human Prescription Drug
0178-0797	Human Prescription Drug
0178-0798	Human Prescription Drug
0178-0799	Human Prescription Drug
0178-0812	Human Prescription Drug
0178-0821	Human Prescription Drug
0178-0829	Human OTC Drug
0178-0832	Human Prescription Drug
0178-0858	Human Prescription Drug
0178-0859	Human Prescription Drug
0178-0866	Human Prescription Drug
0178-0891	Human Prescription Drug
0178-0893	Human Prescription Drug
0178-0894	Human Prescription Drug
0178-0898	Human OTC Drug
0178-0900	Human Prescription Drug
0178-8250	Human Prescription Drug
0178-8500	Human Prescription Drug
0179-0013	Human Prescription Drug
0179-0014	Human Prescription Drug
0179-0023	Human Prescription Drug
0179-0024	Human Prescription Drug
0179-0025	Human Prescription Drug
0179-0037	Human Prescription Drug
0179-0039	Human Prescription Drug
0179-0054	Human Prescription Drug
0179-0056	Human Prescription Drug
0179-0058	Human Prescription Drug
0179-0063	Human Prescription Drug
0179-0065	Human Prescription Drug
0179-0066	Human Prescription Drug
0179-0067	Human Prescription Drug
0179-0069	Human Prescription Drug
0179-0071	Human Prescription Drug
0179-0072	Human Prescription Drug
0179-0073	Human Prescription Drug
0179-0074	Human Prescription Drug
0179-0075	Human Prescription Drug
0179-0087	Human Prescription Drug
0179-0088	Human Prescription Drug
0179-0092	Human Prescription Drug
0179-0093	Human Prescription Drug
0179-0094	Human Prescription Drug
0179-0095	Human Prescription Drug
0179-0096	Human Prescription Drug
0179-0113	Human Prescription Drug
0179-0115	Human Prescription Drug
0179-0116	Human Prescription Drug
0179-0119	Human Prescription Drug
0179-0131	Human Prescription Drug
0179-0132	Human Prescription Drug
0179-0135	Human Prescription Drug
0179-0143	Human Prescription Drug
0179-1026	Human Prescription Drug
0179-1984	Human Prescription Drug
0179-1985	Human Prescription Drug
0179-1988	Human Prescription Drug
0182-1093	Human OTC Drug
0182-1113	Human OTC Drug
0185-0010	Human Prescription Drug
0185-0017	Human Prescription Drug
0185-0020	Human Prescription Drug
0185-0022	Human Prescription Drug
0185-0025	Human Prescription Drug
0185-0027	Human Prescription Drug
0185-0032	Human Prescription Drug
0185-0034	Human Prescription Drug
0185-0039	Human Prescription Drug
0185-0040	Human Prescription Drug
0185-0041	Human Prescription Drug
0185-0042	Human Prescription Drug
0185-0043	Human Prescription Drug
0185-0047	Human Prescription Drug
0185-0048	Human Prescription Drug
0185-0053	Human Prescription Drug
0185-0055	Human Prescription Drug
0185-0063	Human Prescription Drug
0185-0064	Human Prescription Drug
0185-0065	Human Prescription Drug
0185-0070	Human Prescription Drug
0185-0072	Human Prescription Drug
0185-0074	Human Prescription Drug
0185-0084	Human Prescription Drug
0185-0101	Human Prescription Drug
0185-0102	Human Prescription Drug
0185-0103	Human Prescription Drug
0185-0104	Human Prescription Drug
0185-0111	Human Prescription Drug
0185-0115	Human Prescription Drug
0185-0117	Human Prescription Drug
0185-0118	Human Prescription Drug
0185-0122	Human Prescription Drug
0185-0123	Human Prescription Drug
0185-0124	Human Prescription Drug
0185-0128	Human Prescription Drug
0185-0129	Human Prescription Drug
0185-0130	Human Prescription Drug
0185-0134	Human Prescription Drug
0185-0139	Human Prescription Drug
0185-0140	Human Prescription Drug
0185-0141	Human Prescription Drug
0185-0145	Human Prescription Drug
0185-0146	Human Prescription Drug
0185-0149	Human Prescription Drug
0185-0150	Human Prescription Drug
0185-0152	Human Prescription Drug
0185-0157	Human Prescription Drug
0185-0170	Human Prescription Drug
0185-0171	Human Prescription Drug
0185-0173	Human Prescription Drug
0185-0174	Human Prescription Drug
0185-0177	Human Prescription Drug
0185-0193	Human Prescription Drug
0185-0199	Human Prescription Drug
0185-0200	Human Prescription Drug
0185-0204	Human Prescription Drug
0185-0205	Human Prescription Drug
0185-0210	Human Prescription Drug
0185-0211	Human Prescription Drug
0185-0212	Human Prescription Drug
0185-0213	Human Prescription Drug
0185-0215	Human Prescription Drug
0185-0221	Human Prescription Drug
0185-0222	Human Prescription Drug
0185-0223	Human Prescription Drug
0185-0277	Human Prescription Drug
0185-0300	Human Prescription Drug
0185-0325	Human Prescription Drug
0185-0341	Human Prescription Drug
0185-0342	Human Prescription Drug
0185-0371	Human Prescription Drug
0185-0372	Human Prescription Drug
0185-0373	Human Prescription Drug
0185-0401	Human Prescription Drug
0185-0404	Human Prescription Drug
0185-0410	Human Prescription Drug
0185-0415	Human Prescription Drug
0185-0448	Human Prescription Drug
0185-0505	Human Prescription Drug
0185-0550	Human Prescription Drug
0185-0613	Human Prescription Drug
0185-0615	Human Prescription Drug
0185-0644	Human Prescription Drug
0185-0647	Human Prescription Drug
0185-0648	Human OTC Drug
0185-0649	Human OTC Drug
0185-0674	Human Prescription Drug
0185-0701	Human Prescription Drug
0185-0704	Human Prescription Drug
0185-0707	Human Prescription Drug
0185-0713	Human Prescription Drug
0185-0714	Human Prescription Drug
0185-0720	Human Prescription Drug
0185-0724	Human Prescription Drug
0185-0749	Human Prescription Drug
0185-0757	Human Prescription Drug
0185-0771	Human Prescription Drug
0185-0774	Human Prescription Drug
0185-0799	Human Prescription Drug
0185-0801	Human Prescription Drug
0185-0820	Human Prescription Drug
0185-0932	Human Prescription Drug
0185-0933	Human Prescription Drug
0185-0939	Human Prescription Drug
0185-0940	Human Prescription Drug
0185-1047	Human Prescription Drug
0185-1111	Human Prescription Drug
0185-4057	Human Prescription Drug
0185-4346	Human Prescription Drug
0185-4350	Human Prescription Drug
0185-4351	Human Prescription Drug
0185-4400	Human Prescription Drug
0185-4416	Human Prescription Drug
0185-5000	Human Prescription Drug
0185-5050	Human Prescription Drug
0185-5254	Human Prescription Drug
0185-5400	Human Prescription Drug
0185-5600	Human Prescription Drug
0185-7100	Human Prescription Drug
0185-7322	Human Prescription Drug
0185-7400	Human Prescription Drug
0186-0004	Human Prescription Drug
0186-0008	Human Prescription Drug
0186-0016	Human Prescription Drug
0186-0032	Human Prescription Drug
0186-0370	Human Prescription Drug
0186-0372	Human Prescription Drug
0186-0450	Human Prescription Drug
0186-0451	Human Prescription Drug
0186-0452	Human Prescription Drug
0186-0510	Human Prescription Drug
0186-0520	Human Prescription Drug
0186-0606	Human Prescription Drug
0186-0610	Human Prescription Drug
0186-0625	Human Prescription Drug
0186-0702	Human Prescription Drug
0186-0742	Human Prescription Drug
0186-0743	Human Prescription Drug
0186-0777	Human Prescription Drug
0186-0916	Human Prescription Drug
0186-0917	Human Prescription Drug
0186-1070	Human Prescription Drug
0186-1073	Human Prescription Drug
0186-1087	Human Prescription Drug
0186-1088	Human Prescription Drug
0186-1090	Human Prescription Drug
0186-1092	Human Prescription Drug
0186-1094	Human Prescription Drug
0186-1095	Human Prescription Drug
0186-1097	Human Prescription Drug
0186-1988	Human Prescription Drug
0186-1989	Human Prescription Drug
0186-1990	Human Prescription Drug
0186-4010	Human Prescription Drug
0186-4020	Human Prescription Drug
0186-4025	Human Prescription Drug
0186-4040	Human Prescription Drug
0186-4050	Human Prescription Drug
0186-5020	Human Prescription Drug
0186-5022	Human Prescription Drug
0186-5040	Human Prescription Drug
0186-5042	Human Prescription Drug
0186-6020	Human Prescription Drug
0186-6040	Human Prescription Drug
0187-0003	Human Prescription Drug
0187-0007	Human Prescription Drug
0187-0054	Human Prescription Drug
0187-0063	Human Prescription Drug
0187-0064	Human Prescription Drug
0187-0065	Human Prescription Drug
0187-0108	Human Prescription Drug
0187-0140	Human Prescription Drug
0187-0141	Human Prescription Drug
0187-0142	Human Prescription Drug
0187-0143	Human Prescription Drug
0187-0146	Human Prescription Drug
0187-0152	Human Prescription Drug
0187-0192	Human Prescription Drug
0187-0245	Human Prescription Drug
0187-0402	Human Prescription Drug
0187-0453	Human Prescription Drug
0187-0497	Human Prescription Drug
0187-0498	Human Prescription Drug
0187-0500	Human Prescription Drug
0187-0651	Human Prescription Drug
0187-0658	Human Prescription Drug
0187-0659	Human Prescription Drug
0187-0730	Human Prescription Drug
0187-0731	Human Prescription Drug
0187-0771	Human Prescription Drug
0187-0772	Human Prescription Drug
0187-0792	Human Prescription Drug
0187-0795	Human Prescription Drug
0187-0796	Human Prescription Drug
0187-0797	Human Prescription Drug
0187-0798	Human Prescription Drug
0187-0799	Human Prescription Drug
0187-0842	Human Prescription Drug
0187-0844	Human Prescription Drug
0187-0901	Human Prescription Drug
0187-0902	Human Prescription Drug
0187-0938	Human Prescription Drug
0187-0993	Human Prescription Drug
0187-0994	Human Prescription Drug
0187-1101	Human Prescription Drug
0187-1221	Human Prescription Drug
0187-1366	Human OTC Drug
0187-1610	Human OTC Drug
0187-1611	Human OTC Drug
0187-1612	Human OTC Drug
0187-1613	Human OTC Drug
0187-1616	Human OTC Drug
0187-1617	Human OTC Drug
0187-1618	Human OTC Drug
0187-1619	Human OTC Drug
0187-1704	Human Prescription Drug
0187-1824	Human OTC Drug
0187-2045	Human Prescription Drug
0187-2046	Human Prescription Drug
0187-2047	Human Prescription Drug
0187-2048	Human Prescription Drug
0187-2049	Human Prescription Drug
0187-2050	Human Prescription Drug
0187-2097	Human OTC Drug
0187-2105	Human OTC Drug
0187-2120	Human Prescription Drug
0187-2200	Human OTC Drug
0187-2201	Human OTC Drug
0187-2203	Human OTC Drug
0187-2204	Human OTC Drug
0187-2205	Human OTC Drug
0187-2206	Human OTC Drug
0187-2207	Human OTC Drug
0187-2208	Human OTC Drug
0187-2221	Human OTC Drug
0187-2303	Human OTC Drug
0187-2612	Human Prescription Drug
0187-2613	Human Prescription Drug
0187-2614	Human Prescription Drug
0187-2615	Human Prescription Drug
0187-2616	Human Prescription Drug
0187-2617	Human Prescription Drug
0187-3010	Human Prescription Drug
0187-3012	Human Prescription Drug
0187-3013	Human Prescription Drug
0187-3100	Human Prescription Drug
0187-3202	Human Prescription Drug
0187-3203	Human Prescription Drug
0187-3204	Human Prescription Drug
0187-3554	Human Prescription Drug
0187-3555	Human Prescription Drug
0187-3750	Human Prescription Drug
0187-3751	Human Prescription Drug
0187-3758	Human Prescription Drug
0187-4100	Human Prescription Drug
0187-5010	Human OTC Drug
0187-5011	Human OTC Drug
0187-5012	Human OTC Drug
0187-5018	Human OTC Drug
0187-5019	Human OTC Drug
0187-5100	Human Prescription Drug
0187-5101	Human Prescription Drug
0187-5102	Human Prescription Drug
0187-5103	Human Prescription Drug
0187-5104	Human Prescription Drug
0187-5115	Human Prescription Drug
0187-5140	Human Prescription Drug
0187-5144	Human Prescription Drug
0187-5148	Human Prescription Drug
0187-5150	Human Prescription Drug
0187-5160	Human Prescription Drug
0187-5162	Human Prescription Drug
0187-5164	Human Prescription Drug
0187-5170	Human Prescription Drug
0187-5172	Human Prescription Drug
0187-5180	Human Prescription Drug
0187-5182	Human Prescription Drug
0187-5183	Human Prescription Drug
0187-5190	Human Prescription Drug
0187-5198	Human Prescription Drug
0187-5200	Human Prescription Drug
0187-5205	Human Prescription Drug
0187-5465	Human OTC Drug
0187-5466	Human OTC Drug
0187-5475	Human OTC Drug
0187-5478	Human OTC Drug
0187-5479	Human OTC Drug
0187-5485	Human OTC Drug
0187-5500	Human OTC Drug
0187-5525	Human Prescription Drug
0187-5526	Human Prescription Drug
0187-5600	Human Prescription Drug
0224-0500	Human OTC Drug
0224-1801	Human OTC Drug
0224-1822	Human OTC Drug
0224-1841	Human OTC Drug
0224-1847	Human OTC Drug
0224-1852	Human OTC Drug
0224-1855	Human OTC Drug
0224-1856	Human OTC Drug
0224-1860	Human OTC Drug
0224-1866	Human OTC Drug
0224-1878	Human OTC Drug
0225-0295	Human Prescription Drug
0225-0360	Human OTC Drug
0225-0495	Human OTC Drug
0225-0516	Human OTC Drug
0225-0580	Human OTC Drug
0225-0610	Human OTC Drug
0228-1112	Human Prescription Drug
0228-1113	Human Prescription Drug
0228-1114	Human Prescription Drug
0228-1115	Human Prescription Drug
0228-1116	Human Prescription Drug
0228-1117	Human Prescription Drug
0228-2027	Human Prescription Drug
0228-2029	Human Prescription Drug
0228-2031	Human Prescription Drug
0228-2039	Human Prescription Drug
0228-2057	Human Prescription Drug
0228-2059	Human Prescription Drug
0228-2063	Human Prescription Drug
0228-2067	Human Prescription Drug
0228-2069	Human Prescription Drug
0228-2073	Human Prescription Drug
0228-2076	Human Prescription Drug
0228-2077	Human Prescription Drug
0228-2127	Human Prescription Drug
0228-2128	Human Prescription Drug
0228-2129	Human Prescription Drug
0228-2143	Human Prescription Drug
0228-2269	Human Prescription Drug
0228-2348	Human Prescription Drug
0228-2497	Human Prescription Drug
0228-2530	Human Prescription Drug
0228-2538	Human Prescription Drug
0228-2539	Human Prescription Drug
0228-2540	Human Prescription Drug
0228-2550	Human Prescription Drug
0228-2551	Human Prescription Drug
0228-2571	Human Prescription Drug
0228-2577	Human Prescription Drug
0228-2578	Human Prescription Drug
0228-2579	Human Prescription Drug
0228-2588	Human Prescription Drug
0228-2597	Human Prescription Drug
0228-2620	Human Prescription Drug
0228-2631	Human Prescription Drug
0228-2636	Human Prescription Drug
0228-2637	Human Prescription Drug
0228-2665	Human Prescription Drug
0228-2666	Human Prescription Drug
0228-2667	Human Prescription Drug
0228-2672	Human Prescription Drug
0228-2673	Human Prescription Drug
0228-2717	Human Prescription Drug
0228-2751	Human Prescription Drug
0228-2752	Human Prescription Drug
0228-2753	Human Prescription Drug
0228-2778	Human Prescription Drug
0228-2779	Human Prescription Drug
0228-2780	Human Prescription Drug
0228-2781	Human Prescription Drug
0228-2801	Human Prescription Drug
0228-2803	Human Prescription Drug
0228-2820	Human Prescription Drug
0228-2837	Human Prescription Drug
0228-2848	Human Prescription Drug
0228-2849	Human Prescription Drug
0228-2878	Human Prescription Drug
0228-2879	Human Prescription Drug
0228-2890	Human Prescription Drug
0228-2891	Human Prescription Drug
0228-2892	Human Prescription Drug
0228-2895	Human Prescription Drug
0228-2896	Human Prescription Drug
0228-2898	Human Prescription Drug
0228-2899	Human Prescription Drug
0228-2900	Human Prescription Drug
0228-2918	Human Prescription Drug
0228-2975	Human Prescription Drug
0228-2980	Human Prescription Drug
0228-2981	Human Prescription Drug
0228-2982	Human Prescription Drug
0228-2983	Human Prescription Drug
0228-2996	Human Prescription Drug
0228-3003	Human Prescription Drug
0228-3004	Human Prescription Drug
0228-3005	Human Prescription Drug
0228-3059	Human Prescription Drug
0228-3060	Human Prescription Drug
0228-3061	Human Prescription Drug
0228-3062	Human Prescription Drug
0228-3063	Human Prescription Drug
0228-3064	Human Prescription Drug
0228-3083	Human Prescription Drug
0228-3084	Human Prescription Drug
0228-3086	Human Prescription Drug
0228-3087	Human Prescription Drug
0228-3090	Human Prescription Drug
0228-3091	Human Prescription Drug
0228-3092	Human Prescription Drug
0228-3093	Human Prescription Drug
0228-3116	Human Prescription Drug
0228-3117	Human Prescription Drug
0228-3154	Human Prescription Drug
0228-3155	Human Prescription Drug
0228-3227	Human Prescription Drug
0228-3228	Human Prescription Drug
0228-3229	Human Prescription Drug
0228-3230	Human Prescription Drug
0228-3261	Human Prescription Drug
0228-3262	Human Prescription Drug
0228-3263	Human Prescription Drug
0228-3481	Human Prescription Drug
0228-3482	Human Prescription Drug
0228-3501	Human Prescription Drug
0228-3502	Human Prescription Drug
0228-3503	Human Prescription Drug
0228-3504	Human Prescription Drug
0228-3505	Human Prescription Drug
0228-3506	Human Prescription Drug
0228-3507	Human Prescription Drug
0228-3508	Human Prescription Drug
0228-3640	Human Prescription Drug
0228-3658	Human Prescription Drug
0228-3659	Human Prescription Drug
0228-3660	Human Prescription Drug
0228-3661	Human Prescription Drug
0228-4019	Human Prescription Drug
0228-4022	Human Prescription Drug
0228-4024	Human Prescription Drug
0228-4025	Human Prescription Drug
0228-4029	Human Prescription Drug
0228-4417	Human Prescription Drug
0234-0575	Human OTC Drug
0245-0003	Human Prescription Drug
0245-0008	Human Prescription Drug
0245-0012	Human Prescription Drug
0245-0013	Human Prescription Drug
0245-0014	Human Prescription Drug
0245-0015	Human Prescription Drug
0245-0035	Human Prescription Drug
0245-0036	Human Prescription Drug
0245-0037	Human Prescription Drug
0245-0039	Human Prescription Drug
0245-0040	Human Prescription Drug
0245-0041	Human Prescription Drug
0245-0042	Human Prescription Drug
0245-0043	Human Prescription Drug
0245-0057	Human Prescription Drug
0245-0058	Human Prescription Drug
0245-0067	Human Prescription Drug
0245-0070	Human Prescription Drug
0245-0071	Human Prescription Drug
0245-0084	Human Prescription Drug
0245-0085	Human Prescription Drug
0245-0086	Human Prescription Drug
0245-0087	Human Prescription Drug
0245-0136	Human Prescription Drug
0245-0144	Human Prescription Drug
0245-0145	Human Prescription Drug
0245-0147	Human Prescription Drug
0245-0150	Human Prescription Drug
0245-0168	Human Prescription Drug
0245-0169	Human Prescription Drug
0245-0178	Human Prescription Drug
0245-0180	Human Prescription Drug
0245-0181	Human Prescription Drug
0245-0182	Human Prescription Drug
0245-0211	Human Prescription Drug
0245-0212	Human Prescription Drug
0245-0213	Human Prescription Drug
0245-0214	Human Prescription Drug
0245-0215	Human Prescription Drug
0245-0219	Human Prescription Drug
0245-0220	Human Prescription Drug
0245-0221	Human Prescription Drug
0245-0222	Human Prescription Drug
0245-0223	Human Prescription Drug
0245-0224	Human Prescription Drug
0245-0242	Human Prescription Drug
0245-0243	Human Prescription Drug
0245-0245	Human Prescription Drug
0245-0271	Human Prescription Drug
0245-0272	Human Prescription Drug
0245-0374	Human Prescription Drug
0245-0420	Human Prescription Drug
0245-0421	Human Prescription Drug
0245-0422	Human Prescription Drug
0245-0423	Human Prescription Drug
0245-0536	Human Prescription Drug
0245-0707	Human Prescription Drug
0245-0708	Human Prescription Drug
0245-0709	Human Prescription Drug
0245-0710	Human Prescription Drug
0245-0860	Human Prescription Drug
0245-0871	Human Prescription Drug
0245-0872	Human Prescription Drug
0245-0880	Human Prescription Drug
0245-0881	Human Prescription Drug
0245-0882	Human Prescription Drug
0245-1071	Human Prescription Drug
0245-1072	Human Prescription Drug
0245-1073	Human Prescription Drug
0245-1074	Human Prescription Drug
0245-1075	Human Prescription Drug
0256-0185	Human Prescription Drug
0258-3687	Human Prescription Drug
0258-3688	Human Prescription Drug
0258-3689	Human Prescription Drug
0258-3690	Human Prescription Drug
0258-3691	Human Prescription Drug
0258-3692	Human Prescription Drug
0258-4000	Human Prescription Drug
0259-0501	Human Prescription Drug
0259-1101	Human OTC Drug
0259-1102	Human Prescription Drug
0259-1105	Human OTC Drug
0259-1139	Human Prescription Drug
0259-1202	Human Prescription Drug
0259-1420	Human Prescription Drug
0259-1605	Human Prescription Drug
0259-1610	Human Prescription Drug
0259-2102	Human OTC Drug
0259-2202	Human OTC Drug
0259-3192	Human OTC Drug
0259-4126	Human Prescription Drug
0259-4770	Human Prescription Drug
0264-1101	Human Prescription Drug
0264-1102	Human Prescription Drug
0264-1207	Human Prescription Drug
0264-1290	Human Prescription Drug
0264-1510	Human Prescription Drug
0264-1800	Human Prescription Drug
0264-1909	Human Prescription Drug
0264-1915	Human Prescription Drug
0264-1940	Human Prescription Drug
0264-1943	Human Prescription Drug
0264-1965	Human Prescription Drug
0264-2101	Human Prescription Drug
0264-2201	Human Prescription Drug
0264-2202	Human Prescription Drug
0264-2203	Human Prescription Drug
0264-2205	Human Prescription Drug
0264-2301	Human Prescription Drug
0264-2302	Human Prescription Drug
0264-2303	Human Prescription Drug
0264-2304	Human Prescription Drug
0264-2514	Human Prescription Drug
0264-3103	Human Prescription Drug
0264-3105	Human Prescription Drug
0264-3112	Human Prescription Drug
0264-3114	Human Prescription Drug
0264-3123	Human Prescription Drug
0264-3125	Human Prescription Drug
0264-3143	Human Prescription Drug
0264-3145	Human Prescription Drug
0264-3153	Human Prescription Drug
0264-3155	Human Prescription Drug
0264-3173	Human Prescription Drug
0264-3175	Human Prescription Drug
0264-3193	Human Prescription Drug
0264-3195	Human Prescription Drug
0264-3200	Human Prescription Drug
0264-3205	Human Prescription Drug
0264-4000	Human Prescription Drug
0264-4001	Human Prescription Drug
0264-4002	Human Prescription Drug
0264-4021	Human Prescription Drug
0264-4460	Human Prescription Drug
0264-5535	Human Prescription Drug
0264-7273	Human Prescription Drug
0264-7385	Human Prescription Drug
0264-7386	Human Prescription Drug
0264-7388	Human Prescription Drug
0264-7389	Human Prescription Drug
0264-7390	Human Prescription Drug
0264-7510	Human Prescription Drug
0264-7520	Human Prescription Drug
0264-7578	Human Prescription Drug
0264-7605	Human Prescription Drug
0264-7608	Human Prescription Drug
0264-7610	Human Prescription Drug
0264-7612	Human Prescription Drug
0264-7614	Human Prescription Drug
0264-7616	Human Prescription Drug
0264-7622	Human Prescription Drug
0264-7623	Human Prescription Drug
0264-7625	Human Prescription Drug
0264-7628	Human Prescription Drug
0264-7634	Human Prescription Drug
0264-7635	Human Prescription Drug
0264-7636	Human Prescription Drug
0264-7638	Human Prescription Drug
0264-7644	Human Prescription Drug
0264-7645	Human Prescription Drug
0264-7646	Human Prescription Drug
0264-7648	Human Prescription Drug
0264-7652	Human Prescription Drug
0264-7655	Human Prescription Drug
0264-7663	Human Prescription Drug
0264-7682	Human Prescription Drug
0264-7703	Human Prescription Drug
0264-7704	Human Prescription Drug
0264-7707	Human Prescription Drug
0264-7730	Human Prescription Drug
0264-7750	Human Prescription Drug
0264-7751	Human Prescription Drug
0264-7780	Human Prescription Drug
0264-7800	Human Prescription Drug
0264-7802	Human Prescription Drug
0264-7805	Human Prescription Drug
0264-7806	Human Prescription Drug
0264-7850	Human Prescription Drug
0264-7865	Human Prescription Drug
0264-7885	Human Prescription Drug
0264-8612	Human Prescription Drug
0264-9010	Human Prescription Drug
0264-9011	Human Prescription Drug
0264-9341	Human Prescription Drug
0264-9350	Human Prescription Drug
0264-9361	Human Prescription Drug
0264-9371	Human Prescription Drug
0264-9554	Human Prescription Drug
0264-9558	Human Prescription Drug
0264-9567	Human Prescription Drug
0264-9577	Human Prescription Drug
0264-9587	Human Prescription Drug
0264-9594	Human Prescription Drug
0264-9598	Human Prescription Drug
0264-9872	Human Prescription Drug
0264-9999	Human Prescription Drug
0268-0021	Human Prescription Drug
0268-0024	Human Prescription Drug
0268-0027	Human Prescription Drug
0268-0030	Human Prescription Drug
0268-0031	Human Prescription Drug
0268-0034	Human Prescription Drug
0268-0037	Human Prescription Drug
0268-0038	Human Prescription Drug
0268-0041	Human Prescription Drug
0268-0044	Human Prescription Drug
0268-0047	Human Prescription Drug
0268-0050	Human Prescription Drug
0268-0053	Human Prescription Drug
0268-0054	Human Prescription Drug
0268-0057	Human Prescription Drug
0268-0060	Human Prescription Drug
0268-0063	Human Prescription Drug
0268-0066	Human Prescription Drug
0268-0069	Human Prescription Drug
0268-0072	Human Prescription Drug
0268-0075	Human Prescription Drug
0268-0078	Human Prescription Drug
0268-0081	Human Prescription Drug
0268-0082	Human Prescription Drug
0268-0083	Human Prescription Drug
0268-0084	Human Prescription Drug
0268-0087	Human Prescription Drug
0268-0090	Human Prescription Drug
0268-0091	Human Prescription Drug
0268-0094	Human Prescription Drug
0268-0097	Human Prescription Drug
0268-0100	Human Prescription Drug
0268-0103	Human Prescription Drug
0268-0104	Human Prescription Drug
0268-0107	Human Prescription Drug
0268-0110	Human Prescription Drug
0268-0113	Human Prescription Drug
0268-0116	Human Prescription Drug
0268-0119	Human Prescription Drug
0268-0122	Human Prescription Drug
0268-0125	Human Prescription Drug
0268-0128	Human Prescription Drug
0268-0129	Human Prescription Drug
0268-0130	Human Prescription Drug
0268-0131	Human Prescription Drug
0268-0134	Human Prescription Drug
0268-0137	Human Prescription Drug
0268-0140	Human Prescription Drug
0268-0141	Human Prescription Drug
0268-0144	Human Prescription Drug
0268-0145	Human Prescription Drug
0268-0146	Human Prescription Drug
0268-0147	Human Prescription Drug
0268-0150	Human Prescription Drug
0268-0153	Human Prescription Drug
0268-0156	Human Prescription Drug
0268-0157	Human Prescription Drug
0268-0160	Human Prescription Drug
0268-0161	Human Prescription Drug
0268-0164	Human Prescription Drug
0268-0167	Human Prescription Drug
0268-0170	Human Prescription Drug
0268-0173	Human Prescription Drug
0268-0174	Human Prescription Drug
0268-0177	Human Prescription Drug
0268-0180	Human Prescription Drug
0268-0183	Human Prescription Drug
0268-0186	Human Prescription Drug
