NDC Description	NDC	NADAC Per Unit	Effective Date	Pricing Unit	Pharmacy Type Indicator	OTC	Explanation Code	Classification for Rate Setting	Corresponding Generic Drug NADAC Per Unit	Corresponding Generic Drug Effective Date
CLOZAPINE ODT 100 MG TABLET	00093301001	5.78578	09/17/2014	EA	C/I	N	"4, 6"	G			
CLOZAPINE ODT 100 MG TABLET	00093301019	5.78578	09/17/2014	EA	C/I	N	"4, 6"	G			
CLOZAPINE ODT 100 MG TABLET	00093301084	5.78578	09/17/2014	EA	C/I	N	"4, 6"	G			
CLOZARIL 100 MG TABLET	00078012705	12.02942	06/17/2015	EA	C/I	N	1	B	0.96921	06/17/2015	
CLOZARIL 100 MG TABLET	00078012706	12.02942	06/17/2015	EA	C/I	N	1	B	0.96921	06/17/2015	
CLOZARIL 100 MG TABLET	00078012761	12.02942	06/17/2015	EA	C/I	N	1	B	0.96921	06/17/2015	
CLOZARIL 25 MG TABLET	00078012605	4.78978	06/17/2015	EA	C/I	N	1	B	0.40598	06/17/2015	
CLOZARIL 25 MG TABLET	00078012606	4.78978	06/17/2015	EA	C/I	N	1	B	0.40598	06/17/2015	
CLOZARIL 25 MG TABLET	00078012661	4.78978	06/17/2015	EA	C/I	N	1	B	0.40598	06/17/2015	
CODEINE SULFATE 30 MG TABLET	00054024424	0.39013	06/17/2015	EA	C/I	N	1	G			
CODEINE SULFATE 30 MG TABLET	00054024425	0.39013	06/17/2015	EA	C/I	N	1	G			
CODEINE SULFATE 30 MG TABLET	00527169801	0.39013	06/17/2015	EA	C/I	N	1	G			
CODEINE SULFATE 60 MG TABLET	00054024525	0.69752	06/17/2015	EA	C/I	N	"1, 6"	G			
CODEINE SULFATE 60 MG TABLET	00527169901	0.69752	06/17/2015	EA	C/I	N	1	G			
CODEINE-GUAIFEN 10-100 MG/5 ML	58657050016	0.05182	06/17/2015	ML	C/I	Y	"1, 5"	G			
CODEINE-GUAIFEN 10-100 MG/5 ML	58657050004	0.05292	06/17/2015	ML	C/I	Y	"1, 5"	G			
CODITUSS DM SYRUP	00603072854	0.13732	04/22/2015	ML	C/I	Y	"4, 5"	G			
COLACE 100 MG CAPSULE	67618010130	0.26683	05/20/2015	EA	C/I	Y	"2, 6"	B	0.02025	06/17/2015	
COLACE 100 MG CAPSULE	67618010152	0.26683	05/20/2015	EA	C/I	Y	"2, 6"	B	0.02025	06/17/2015	
COLACE 100 MG CAPSULE	67618010160	0.26683	05/20/2015	EA	C/I	Y	"2, 6"	B	0.02025	06/17/2015	
COLACE 50 MG CAPSULE	67618010030	0.23131	02/18/2015	EA	C/I	Y	"4, 6"	B			
COLACE 50 MG CAPSULE	67618010060	0.23131	02/18/2015	EA	C/I	Y	"4, 6"	B			
COLACE CLEAR 50 MG SOFTGEL	67618010928	0.23131	02/18/2015	EA	C/I	Y	"4, 6"	B			
COLACE-T 100 MG CAPSULE	67618010110	0.26683	05/20/2015	EA	C/I	Y	"2, 6"	B	0.02025	06/17/2015	
COLCHICINE 0.6 MG CAPSULE	00143301801	4.27831	06/17/2015	EA	C/I	N	"1, 6"	G			
COLCHICINE 0.6 MG CAPSULE	00143301810	4.27831	06/17/2015	EA	C/I	N	"1, 6"	G			
COLCHICINE 0.6 MG TABLET	66993016502	4.78548	06/17/2015	EA	C/I	N	"1, 6"	G			
COLCRYS 0.6 MG TABLET	64764011901	5.79717	04/02/2015	EA	C/I	N	2	B	4.78548	06/17/2015	
COLCRYS 0.6 MG TABLET	64764011907	5.79717	04/02/2015	EA	C/I	N	2	B	4.78548	06/17/2015	
COLD & ALLERGY ELIXIR	24385051726	0.01700	06/17/2015	ML	C/I	Y	"1, 5"	G			
COLD & ALLERGY ELIXIR	37205093126	0.01700	06/17/2015	ML	C/I	Y	"1, 5"	G			
COLD & ALLERGY PE TABLET	24385092462	0.14931	06/17/2015	EA	C/I	Y	1	G			
COLD & COUGH ELIXIR	24385051926	0.01605	06/17/2015	ML	C/I	Y	"1, 5"	G			
COLD HEAD CONGESTION CAPLET	36800040262	0.09006	02/18/2015	EA	C/I	Y	4	G			
COLD HEAD CONGESTION CAPLET	37205095962	0.09006	02/18/2015	EA	C/I	Y	4	G			
COLD HEAD CONGESTION CAPLET	00113023462	0.23585	05/20/2015	EA	C/I	Y	4	G			
COLD HEAD CONGESTION CAPLET	36800023462	0.23585	05/20/2015	EA	C/I	Y	4	G			
COLD MULTI-SYMPTOM CAPLET	36800037162	0.09006	02/18/2015	EA	C/I	Y	4	G			
COLD MULTI-SYMPTOM CAPLET	24385096260	0.13781	05/20/2015	EA	C/I	Y	4	G			
COLD MULTI-SYMPTOM SEVERE CPLT	36800030862	0.23585	05/20/2015	EA	C/I	Y	4	G			
COLD RELIEF HEAD CONGEST CPLT	24385096360	0.13781	05/20/2015	EA	C/I	Y	4	G			
COLESTID 1 GM TABLET	00009045003	1.27188	06/01/2015	EA	C/I	N	4	B	0.83786	06/17/2015	
COLESTID GRANULES PACKET	00009026001	4.19879	06/01/2015	EA	C/I	N	4	B	1.97367	01/21/2015	
COLESTID GRANULES PACKET	00009026004	4.19879	06/01/2015	EA	C/I	N	4	B	1.97367	01/21/2015	
COLESTIPOL HCL 1 GM TABLET	00115521116	0.83786	06/17/2015	EA	C/I	N	1	G			
COLESTIPOL HCL GRANULES PACKET	00115521218	1.97367	01/21/2015	EA	C/I	N	4	G			
COLESTIPOL HCL GRANULES PACKET	00115521229	1.97367	01/21/2015	EA	C/I	N	4	G			
COLESTIPOL MICRONIZED 1 GM TAB	59762045001	0.83786	06/17/2015	EA	C/I	N	"1, 6"	G			
COLISTIMETHATE 150 MG VIAL	00574085801	16.89000	06/17/2015	EA	C/I	N	"1, 5"	G			
COLISTIMETHATE 150 MG VIAL	23155019331	16.89000	06/17/2015	EA	C/I	N	"1, 5"	G			
COLISTIMETHATE 150 MG VIAL	25021015910	16.89000	06/17/2015	EA	C/I	N	"1, 5"	G			
COLISTIMETHATE 150 MG VIAL	39822061501	16.89000	06/17/2015	EA	C/I	N	"1, 5"	G			
COLISTIMETHATE 150 MG VIAL	42023013101	16.89000	06/17/2015	EA	C/I	N	"1, 5, 6"	G			
COLISTIMETHATE 150 MG VIAL	42023013106	16.89000	06/17/2015	EA	C/I	N	"1, 5, 6"	G			
COLISTIMETHATE 150 MG VIAL	63323039306	16.89000	06/17/2015	EA	C/I	N	"1, 5"	G			
COLOCORT 100 MG ENEMA	00574202007	0.09026	06/17/2015	ML	C/I	N	"1, 5"	G			
COLY-MYCIN S EAR DROPS	42023010801	6.47000	06/17/2015	ML	C/I	N	"1, 5"	B			
COLYTE WITH FLAVOR PACKS	68220013301	0.01203	01/10/2015	ML	C/I	N	"4, 5"	B			
COMBIGAN EYE DROPS	00023921105	23.61821	05/30/2015	ML	C/I	N	"2, 5"	B			
COMBIGAN EYE DROPS	00023921110	23.63462	05/30/2015	ML	C/I	N	"2, 5"	B			
COMBIPATCH 0.05-0.14 MG PTCH	00078037742	15.95486	06/05/2015	EA	C/I	N	3	B			
COMBIPATCH 0.05-0.14 MG PTCH	00078037762	15.95486	06/05/2015	EA	C/I	N	3	B			
COMBIPATCH 0.05-0.14 MG PTCH	68968051408	15.95486	06/05/2015	EA	C/I	N	3	B			
COMBIPATCH 0.05-0.25 MG PTCH	00078037842	16.05822	06/05/2015	EA	C/I	N	3	B			
COMBIPATCH 0.05-0.25 MG PTCH	00078037862	16.05822	06/05/2015	EA	C/I	N	3	B			
COMBIPATCH 0.05-0.25 MG PTCH	68968052508	16.05822	06/05/2015	EA	C/I	N	3	B			
COMBIVENT RESPIMAT INHAL SPRAY	00597002402	67.35867	06/17/2015	GM	C/I	N	"1, 5"	B			
COMBIVIR TABLET	49702020218	14.47233	02/18/2015	EA	C/I	N	2	B	5.88549	06/17/2015	
COMBIVIR TABLET	49702020229	14.47233	02/18/2015	EA	C/I	N	2	B	5.88549	06/17/2015	
COMPLERA TABLET	61958110101	70.37963	04/22/2015	EA	C/I	N	2	B			
COMPLETE ALLERGY 12.5 MG/5 ML	37205056534	0.01006	03/18/2015	ML	C/I	Y	"4, 5"	G			
COMPLETE ALLERGY 12.5 MG/5 ML	37205056526	0.01144	06/17/2015	ML	C/I	Y	"1, 5"	G			
COMPLETE NATAL DHA	13811001030	0.33828	05/20/2015	EA	C/I	N	4	G			
COMPLETE TABLET CHEW	00113032163	0.22520	06/17/2015	EA	C/I	Y	1	G			
COMPLETE TABLET CHEW	24385020163	0.22520	06/17/2015	EA	C/I	Y	1	G			
COMPLETE TABLET CHEW	24385020263	0.22520	06/17/2015	EA	C/I	Y	1	G			
COMPLETE TABLET CHEW	36800032163	0.22520	06/17/2015	EA	C/I	Y	1	G			
COMPLETE TABLET CHEW	36800032171	0.22520	06/17/2015	EA	C/I	Y	1	G			
COMPLETE TABLET CHEW	36800054663	0.22520	06/17/2015	EA	C/I	Y	1	G			
COMPLETE TABLET CHEW	36800054671	0.22520	06/17/2015	EA	C/I	Y	1	G			
COMPRO 25 MG SUPPOSITORY	00574722612	8.88210	06/17/2015	EA	C/I	N	1	G			
COMTAN 200 MG TABLET	00078032705	5.30397	01/06/2015	EA	C/I	N	4	B	2.50758	06/17/2015	
CONCEPT DHA CAPSULE	52747062130	0.95522	01/21/2015	EA	C/I	N	4	B			
CONCEPT OB CAPSULE	52747062030	0.89018	12/15/2014	EA	C/I	N	4	B			
CONCERTA ER 18 MG TABLET	50458058501	8.06375	02/18/2015	EA	C/I	N	2	B	5.45163	06/17/2015	
CONCERTA ER 27 MG TABLET	50458058801	8.38823	06/17/2015	EA	C/I	N	1	B	5.17077	06/17/2015	
CONCERTA ER 36 MG TABLET	50458058601	8.59209	01/06/2015	EA	C/I	N	2	B	5.40868	06/17/2015	
CONCERTA ER 54 MG TABLET	50458058701	9.25127	01/06/2015	EA	C/I	N	2	B	5.37729	06/17/2015	
CONDYLOX 0.5% GEL	52544004513	106.77371	05/20/2015	GM	C/I	N	"2, 5"	B			
CONGESTAC TABLET	00225058006	0.39933	05/20/2015	EA	C/I	Y	4	G			
CONGESTAC TABLET	00225058008	0.39933	05/20/2015	EA	C/I	Y	4	G			
CONSTULOSE 10 GM/15 ML SOLN	45963043965	0.01137	06/17/2015	ML	C/I	N	"1, 5"	G			
CONSTULOSE 10 GM/15 ML SOLN	45963043963	0.01525	04/22/2015	ML	C/I	N	"4, 5"	G			
CONTRAVE ER 8-90 MG TABLET	64764089099	1.60492	02/18/2015	EA	C/I	N	2	B			
CONZIP 100 MG CAPSULE	68025005330	8.65017	05/13/2015	EA	C/I	N	4	B			
CONZIP 100 MG CAPSULE	68025007130	8.65017	05/13/2015	EA	C/I	N	4	B			
CONZIP 200 MG CAPSULE	68025005530	11.18600	05/13/2015	EA	C/I	N	4	B			
CONZIP 200 MG CAPSULE	68025007230	11.18600	05/13/2015	EA	C/I	N	4	B			
COPAXONE 20 MG/ML SYRINGE	68546031730	196.34329	01/01/2015	ML	C/I	N	"2, 5"	B			
COPAXONE 40 MG/ML SYRINGE	68546032512	401.89557	01/01/2015	ML	C/I	N	"2, 5"	B			
COREG 12.5 MG TABLET	00007414120	3.20777	01/05/2015	EA	C/I	N	4	B	0.03130	06/17/2015	
COREG 25 MG TABLET	00007414220	3.18161	01/05/2015	EA	C/I	N	4	B	0.03441	06/17/2015	
COREG 3.125 MG TABLET	00007413920	3.23160	01/05/2015	EA	C/I	N	4	B	0.03247	06/17/2015	
COREG 6.25 MG TABLET	00007414020	3.21688	06/17/2015	EA	C/I	N	1	B	0.03114	06/17/2015	
COREG CR 10 MG CAPSULE	00007337013	6.38429	01/05/2015	EA	C/I	N	2	B			
COREG CR 20 MG CAPSULE	00007337113	6.42050	01/05/2015	EA	C/I	N	2	B			
COREG CR 40 MG CAPSULE	00007337213	6.44904	01/05/2015	EA	C/I	N	2	B			
COREG CR 80 MG CAPSULE	00007337313	6.44238	01/05/2015	EA	C/I	N	2	B			
CORMAX 0.05% SOLUTION	00095004950	2.58858	06/17/2015	ML	C/I	N	"1, 5"	G			
CORTEF 10 MG TABLET	00009003101	0.97710	06/01/2015	EA	C/I	N	2	B	0.41737	06/17/2015	
CORTEF 5 MG TABLET	00009001201	0.58057	06/17/2015	EA	C/I	N	3	B	0.26084	06/17/2015	
CORTIFOAM 10% AEROSOL	68220014015	20.46363	06/17/2015	GM	C/I	N	"1, 5"	B			
CORTISONE 25 MG TABLET	00143120201	2.43663	01/21/2015	EA	C/I	N	4	G			
CORTISONE 25 MG TABLET	00143970001	2.43663	02/18/2015	EA	C/I	N	4	G			
CORTISPORIN CREAM	61570003275	9.62967	06/01/2015	GM	C/I	N	"4, 5"	B			
CORTISPORIN OINTMENT	61570003150	6.64292	06/01/2015	GM	C/I	N	"4, 5"	B			
CORTISPORIN-TC EAR SUSP	42023010901	15.31376	05/20/2015	ML	C/I	N	"4, 5"	B			
CORVITE FE TABLET	68025006030	3.52648	01/09/2015	EA	C/I	N	"4, 6"	B			
COSOPT EYE DROPS	00006362836	15.17408	04/22/2015	ML	C/I	N	"2, 5"	B	1.31704	06/17/2015	
COSOPT EYE DROPS	17478060510	15.17408	04/22/2015	ML	C/I	N	"2, 5"	B	1.31704	06/17/2015	
COSOPT PF EYE DROPS	00006362960	1.54949	03/18/2015	EA	C/I	N	"2, 5"	B			
COSOPT PF EYE DROPS	17478060430	1.54949	03/18/2015	EA	C/I	N	"2, 5"	B			
COUGH & COLD TABLET	00904581744	0.08225	06/17/2015	EA	C/I	Y	1	G			
COUGH DM ER 30 MG/5 ML SUSP	00904631256	0.05628	06/17/2015	ML	C/I	Y	"1, 5"	G			
COUGH DM ER 30 MG/5 ML SUSP	37205069721	0.05628	06/17/2015	ML	C/I	Y	"1, 5"	G			
COUGH DM ER 30 MG/5 ML SUSP	46122014121	0.05628	06/17/2015	ML	C/I	Y	"1, 5"	G			
COUGH DM ER 30 MG/5 ML SUSP	46122014221	0.05628	06/17/2015	ML	C/I	Y	"1, 5"	G			
COUGH SYRUP	00536097097	0.01147	06/17/2015	ML	C/I	Y	"1, 5"	G			
COUGH SYRUP 100 MG/5 ML	00536082597	0.01029	06/17/2015	ML	C/I	Y	"1, 5"	G			
COUGHTAB 200 MG TABLET	37205046672	0.03766	06/17/2015	EA	C/I	Y	1	G			
COUGHTAB 400 MG TABLET	15127015150	0.06101	06/17/2015	EA	C/I	Y	1	G			
COUMADIN 1 MG TABLET	00056016901	1.66814	02/18/2015	EA	C/I	N	2	B	0.19004	06/17/2015	
COUMADIN 1 MG TABLET	00056016970	1.66814	02/18/2015	EA	C/I	N	2	B	0.19004	06/17/2015	
COUMADIN 1 MG TABLET	00056016975	1.66814	02/18/2015	EA	C/I	N	2	B	0.19004	06/17/2015	
COUMADIN 1 MG TABLET	00056016990	1.66814	02/18/2015	EA	C/I	N	2	B	0.19004	06/17/2015	
COUMADIN 10 MG TABLET	00056017401	2.56148	06/17/2015	EA	C/I	N	1	B	0.24380	06/17/2015	
COUMADIN 10 MG TABLET	00056017470	2.56148	06/17/2015	EA	C/I	N	1	B	0.24380	06/17/2015	
COUMADIN 10 MG TABLET	00056017475	2.56148	06/17/2015	EA	C/I	N	1	B	0.24380	06/17/2015	
COUMADIN 2 MG TABLET	00056017001	1.72791	01/01/2015	EA	C/I	N	2	B	0.19112	06/17/2015	
COUMADIN 2 MG TABLET	00056017070	1.72791	01/01/2015	EA	C/I	N	2	B	0.19112	06/17/2015	
COUMADIN 2 MG TABLET	00056017075	1.72791	01/01/2015	EA	C/I	N	2	B	0.19112	06/17/2015	
COUMADIN 2 MG TABLET	00056017090	1.72791	01/01/2015	EA	C/I	N	2	B	0.19112	06/17/2015	
COUMADIN 2.5 MG TABLET	00056017601	1.79956	02/18/2015	EA	C/I	N	2	B	0.18645	06/17/2015	
COUMADIN 2.5 MG TABLET	00056017670	1.79956	02/18/2015	EA	C/I	N	2	B	0.18645	06/17/2015	
COUMADIN 2.5 MG TABLET	00056017675	1.79956	02/18/2015	EA	C/I	N	2	B	0.18645	06/17/2015	
COUMADIN 2.5 MG TABLET	00056017690	1.79956	02/18/2015	EA	C/I	N	2	B	0.18645	06/17/2015	
COUMADIN 3 MG TABLET	00056018801	1.78349	01/01/2015	EA	C/I	N	2	B	0.19629	06/17/2015	
COUMADIN 3 MG TABLET	00056018870	1.78349	01/01/2015	EA	C/I	N	2	B	0.19629	06/17/2015	
COUMADIN 3 MG TABLET	00056018875	1.78349	01/01/2015	EA	C/I	N	2	B	0.19629	06/17/2015	
COUMADIN 4 MG TABLET	00056016801	1.78780	01/21/2015	EA	C/I	N	2	B	0.19595	06/17/2015	
COUMADIN 4 MG TABLET	00056016870	1.78780	01/21/2015	EA	C/I	N	2	B	0.19595	06/17/2015	
COUMADIN 4 MG TABLET	00056016875	1.78780	01/21/2015	EA	C/I	N	2	B	0.19595	06/17/2015	
COUMADIN 5 MG TABLET	00056017201	1.85104	01/01/2015	EA	C/I	N	2	B	0.19782	06/17/2015	
COUMADIN 5 MG TABLET	00056017270	1.85104	01/01/2015	EA	C/I	N	2	B	0.19782	06/17/2015	
COUMADIN 5 MG TABLET	00056017275	1.85104	01/01/2015	EA	C/I	N	2	B	0.19782	06/17/2015	
COUMADIN 5 MG TABLET	00056017290	1.85104	01/01/2015	EA	C/I	N	2	B	0.19782	06/17/2015	
COUMADIN 6 MG TABLET	00056018901	2.26426	04/22/2015	EA	C/I	N	4	B	0.25662	06/17/2015	
COUMADIN 6 MG TABLET	00056018970	2.26426	04/22/2015	EA	C/I	N	4	B	0.25662	06/17/2015	
COUMADIN 6 MG TABLET	00056018975	2.26426	04/22/2015	EA	C/I	N	4	B	0.25662	06/17/2015	
COUMADIN 7.5 MG TABLET	00056017301	2.51365	02/18/2015	EA	C/I	N	2	B	0.24247	06/17/2015	
COUMADIN 7.5 MG TABLET	00056017370	2.51365	02/18/2015	EA	C/I	N	2	B	0.24247	06/17/2015	
COUMADIN 7.5 MG TABLET	00056017375	2.51365	02/18/2015	EA	C/I	N	2	B	0.24247	06/17/2015	
COZAAR 100 MG TABLET	00006096031	4.32612	04/23/2015	EA	C/I	N	4	B	0.08832	06/17/2015	
COZAAR 100 MG TABLET	00006096054	4.32612	04/23/2015	EA	C/I	N	4	B	0.08832	06/17/2015	
COZAAR 25 MG TABLET	00006095154	2.36116	04/23/2015	EA	C/I	N	4	B	0.04699	06/17/2015	
COZAAR 25 MG TABLET	00006095182	2.36116	04/23/2015	EA	C/I	N	4	B	0.04699	06/17/2015	
COZAAR 25 MG TABLET	00006095187	2.36116	04/23/2015	EA	C/I	N	4	B	0.04699	06/17/2015	
COZAAR 50 MG TABLET	00006095231	3.19217	04/23/2015	EA	C/I	N	4	B	0.06073	06/17/2015	
COZAAR 50 MG TABLET	00006095254	3.19217	04/23/2015	EA	C/I	N	4	B	0.06073	06/17/2015	
"CREON DR 12,000 UNITS CAPSULE"	00032121201	2.42128	12/31/2014	EA	C/I	N	2	B			
"CREON DR 12,000 UNITS CAPSULE"	00032121207	2.42128	12/31/2014	EA	C/I	N	2	B			
"CREON DR 24,000 UNITS CAPSULE"	00032122401	4.74149	12/31/2014	EA	C/I	N	2	B			
"CREON DR 24,000 UNITS CAPSULE"	00032122407	4.74149	12/31/2014	EA	C/I	N	2	B			
"CREON DR 3,000 UNITS CAPSULE"	00032120370	1.02920	05/20/2015	EA	C/I	N	2	B			
"CREON DR 36,000 UNITS CAPSULE"	00032301613	7.47918	12/31/2014	EA	C/I	N	2	B			
"CREON DR 36,000 UNITS CAPSULE"	00032301628	7.47918	12/31/2014	EA	C/I	N	2	B			
"CREON DR 6,000 UNITS CAPSULE"	00032120601	1.23368	12/31/2014	EA	C/I	N	2	B			
"CREON DR 6,000 UNITS CAPSULE"	00032120607	1.23368	12/31/2014	EA	C/I	N	2	B			
CRESTOR 10 MG TABLET	00310075139	6.72579	01/01/2015	EA	C/I	N	2	B			
CRESTOR 10 MG TABLET	00310075190	6.72579	01/01/2015	EA	C/I	N	2	B			
CRESTOR 20 MG TABLET	00310075239	6.72862	01/01/2015	EA	C/I	N	2	B			
CRESTOR 20 MG TABLET	00310075290	6.72862	01/01/2015	EA	C/I	N	2	B			
CRESTOR 40 MG TABLET	00310075430	6.72721	01/01/2015	EA	C/I	N	2	B			
CRESTOR 5 MG TABLET	00310075590	6.63866	01/01/2015	EA	C/I	N	2	B			
CRINONE 8% GEL	52544025612	17.19123	06/17/2015	GM	C/I	N	"1, 5"	B			
CRITIC-AID SKIN PASTE	11701005032	0.05545	05/20/2015	GM	C/I	Y	"4, 5"	G			
CROMOLYN 20 MG/2 ML NEB SOLN	00172640649	1.31125	01/21/2015	ML	C/I	N	"4, 5"	G			
CROMOLYN 4% EYE DROPS	00093138943	0.54980	06/17/2015	ML	C/I	N	"1, 5"	G			
CROMOLYN 4% EYE DROPS	17478029111	0.54980	06/17/2015	ML	C/I	N	"1, 5"	G			
CROMOLYN 4% EYE DROPS	24208096110	0.54980	06/17/2015	ML	C/I	N	"1, 5"	G			
CROMOLYN 4% EYE DROPS	61314023710	0.54980	06/17/2015	ML	C/I	N	"1, 5"	G			
CROMOLYN SODIUM 100 MG/5 ML	16571060096	0.91204	06/17/2015	ML	C/I	N	"1, 5"	G			
CROMOLYN SODIUM 100 MG/5 ML	66993047096	0.91204	06/17/2015	ML	C/I	N	"1, 5, 6"	G			
CROMOLYN SODIUM NASAL SOLUTION	00904553267	0.25339	06/17/2015	ML	C/I	Y	"1, 5"	G			
CROMOLYN SODIUM NASAL SPRAY	57782039726	0.25339	06/17/2015	ML	C/I	Y	"1, 5"	G			
CRYSELLE-28 TABLET	00555904958	0.52560	06/17/2015	EA	C/I	N	1	G			
CUPRIMINE 250 MG CAPSULE	25010070515	59.49950	11/21/2014	EA	C/I	N	4	B			
CUVPOSA 1 MG/5 ML SOLUTION	00259050116	0.97313	04/22/2015	ML	C/I	N	"2, 5"	B			
"CYANOCOBALAMIN 1,000 MCG/ML"	00517013005	0.40949	06/17/2015	ML	C/I	N	"1, 5"	G			
"CYANOCOBALAMIN 1,000 MCG/ML"	00517003225	0.62067	05/20/2015	ML	C/I	N	"4, 5"	G			
"CYANOCOBALAMIN 1,000 MCG/ML"	00517003125	6.08930	06/17/2015	ML	C/I	N	"1, 5"	G			
"CYANOCOBALAMIN 1,000 MCG/ML"	63323004401	6.08930	06/17/2015	ML	C/I	N	"1, 5"	G			
CYCLAFEM 1-35-28 TABLET	00603752117	0.47992	06/17/2015	EA	C/I	N	1	G			
CYCLAFEM 1-35-28 TABLET	00603752149	0.47992	06/17/2015	EA	C/I	N	1	G			
CYCLAFEM 7-7-7-28 TABLET	00603752517	0.52005	06/17/2015	EA	C/I	N	1	G			
CYCLAFEM 7-7-7-28 TABLET	00603752549	0.52005	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	00378075101	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	00378075110	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	00591565801	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	00591565805	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	00591565810	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	00603307902	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	00603307903	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	00603307904	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	00603307921	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	00603307928	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	00603307932	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	00603307934	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	00904780961	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	10702000701	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	10702000710	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	10702000750	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	31722028301	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	31722028310	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	50111056301	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	50111056302	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	50111056303	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	51079064401	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	51079064417	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	51079064419	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	51079064420	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	59746017706	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	59746017710	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	63739053110	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	65162054110	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	65162054111	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	65162054150	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	65862019101	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	65862019105	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	65862019199	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	68084039701	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	68084039711	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	68645045070	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 10 MG TABLET	68645045090	0.02292	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 5 MG TABLET	00378077101	0.04728	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 5 MG TABLET	00378077193	0.04728	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 5 MG TABLET	00591325601	0.04728	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 5 MG TABLET	00603307821	0.04728	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 5 MG TABLET	00603307828	0.04728	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 5 MG TABLET	10702000601	0.04728	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 5 MG TABLET	10702000610	0.04728	06/17/2015	EA	C/I	N	1	G			
CYCLOBENZAPRINE 5 MG TABLET	10702000650	0.04728	06/17/2015	EA	C/I	N	1	G			
