product_ndc	proprietary_name
0013-2150	Estring	
0591-0416	Estropipate	
0430-0570	Estrostep Fe	
0378-5272	Eszopiclone	
68180-0281	Ethambutol Hydrochloride	
68382-0443	Ethosuximide	
68382-0272	Etodolac	
64011-0215	Evamist	
0002-4165	Evista	
0145-0061	Evoclin	
63395-0201	Evoxac	
68047-0157	Exefen Ir	
10631-0101	Exelderm	
0078-0502	Exelon	
0054-0080	Exemestane	
0078-0490	Exforge	
0078-0559	Exforge Hct	
65162-0212	Extended Phenytoin Sodium	
40076-0051	Extina	
0536-0970	Extra Action Cough	
0904-1983	Extra Strength Mapap	
0904-7651	Extra Strength Mapap Pm	
63868-0987	Extra Strength Non-aspirin	
15127-0972	Extra Strength Non-aspirin Pain Reliever	
15127-0857	Extra Strength Pain Relief	
37205-0593	Extra Strength Pain Reliever	
0603-0265	Extra Strength Qpap	
0536-3757	Extra Strength Stool Softener Laxative	
62011-0104	Eye Drops Advanced Relief	
62011-0100	Eye Drops Redness and Dry Eye Relief	
62011-0102	Eye Drops Regular	
0536-0901	Eye Irrigating	
0904-5377	Eye Wash	
68308-0326	Fabb Tablets	
0145-0020	Fabior	
75854-0601	Falessa	
68180-0853	Fallback Solo	
16714-0359	Falmina	
0093-8117	Famciclovir	
43386-0500	Famotidine	
0078-0595	Fanapt	
42747-0327	Fareston	
0003-1428	Farxiga	
18860-0101	Fazaclo	
64376-0803	Fe C Tab	
65162-0734	Felbamate	
0037-0442	Felbatol	
68462-0235	Felodipine	
0078-0249	Femara	
0430-0482	Femcon Fe	
0430-0145	Femhrt	
0430-6202	Femring	
68180-0131	Fenofibrate	
51079-0196	Fenofibric Acid	
0781-7241	Fentanyl	
0406-9202	Fentanyl Citrate	
0406-9000	Fentanyl Transdermal System	
63459-0542	Fentora	
75854-0310	Ferivafa	
0178-0089	Ferralet 90	
0456-2220	Fetzima	
0472-1201	Feverall Children	
51672-2114	Feverall Infants	
68084-0286	Fexofenadine Hydrochloride	
62011-0053	Fiber	
0536-4306	Fiber Lax	
49348-0633	Fiber Laxative	
49348-0166	Fiber Original Texture	
0904-2500	Fiber Tabs	
0005-2500	Fibercon	
10922-0825	Finacea	
0378-3151	Finasteride	
52544-0080	Fioricet	
0025-1961	Flagyl Er	
0065-0096	Flarex	
51224-0154	Flavoxate Hydrochloride	
0054-0012	Flecainide Acetate	
60793-0411	Flector	
0132-0201	Fleet	
0597-0058	Flomax	
0173-0453	Flonase	
0703-1029	Fluconazole	
0115-7033	Fludrocortisone Acetate	
24208-0344	Flunisolide	
65162-0704	Fluocinolone Acetonide	
13925-0508	Fluocinolone Acetonide 0.01%	
0168-0457	Fluocinonide	
24338-0656	Fluor-a-day	
59088-0105	Fluoride	
60758-0880	Fluorometholone	
63323-0117	Fluorouracil	
68084-0101	Fluoxetine	
49909-0005	Fluoxetine Hcl	
0781-2824	Fluoxetine Hydrochloride	
63323-0272	Fluphenazine Decanoate	
51079-0485	Fluphenazine Hydrochloride	
0143-3367	Flurazepam	
0378-4415	Flurazepam Hydrochloride	
0378-0093	Flurbiprofen	
60758-0910	Flurbiprofen Sodium	
0591-2466	Flutamide	
60432-0264	Fluticasone	
0054-3270	Fluticasone Propionate	
0093-7443	Fluvastatin	
0378-8020	Fluvastatin Sodium	
0378-0414	Fluvoxamine Maleate	
11980-0211	Fml	
11980-0228	Fml Forte	
0078-0380	Focalin	
68308-0324	Folcaps	
51079-0105	Folic Acid	
67457-0582	Fondaparinux Sodium	
0085-1401	Foradil	
49908-0167	Formaldehyde	
0904-0049	Formula Em	
0002-8400	Forteo	
63481-0183	Fortesta	
0245-0008	Fortical	
60505-2511	Fosinopril Na	
0093-7224	Fosinopril Sodium	
63304-0404	Fosinopril Sodium and Hydrochlorothiazide	
54092-0253	Fosrenol	
62856-0125	Fragmin	
15821-0101	Freshkote Lubricant Eye Drops	
63481-0025	Frova	
65649-0802	Fulyzaq	
0884-0293	Fungoid Tincture	
23155-0473	Furosemide	
0004-0381	Fuzeon	
62856-0274	Fycompa	
63304-0627	Gabapentin	
63459-0412	Gabitril	
60505-2544	Galantamine	
0378-8107	Galantamine Hydrobromide	
48102-0009	Garamycin	
0536-2220	Gas Relief	
49348-0740	Gas Relief Drops Infants	
68180-0435	Gatifloxacin	
43386-0312	Gavilax	
43386-0050	Gavilyte - N	
0135-0094	Gaviscon	
52544-0041	Gelnique	
57664-0115	Gemfibrozil	
52544-0204	Generess Fe	
60432-0038	Generlac	
0074-7269	Gengraf	
0013-2626	Genotropin	
17478-0827	Gentak	
63323-0010	Gentamicin	
0409-1207	Gentamicin Sulfate	
37205-0128	Gentle Laxative	
0049-0056	Geodon	
0093-5423	Gianvi	
0603-3590	Gildagia	
0603-7606	Gildess 1.5/30	
0603-7607	Gildess 1/20	
0603-7608	Gildess Fe 1.5/30	
0603-7609	Gildess Fe 1/20	
0078-0607	Gilenya	
0078-0438	Gleevec	
54458-0967	Glimepiride	
49884-0746	Glipizide	
23155-0115	Glipizide and Metformin Hcl	
0093-7456	Glipizide and Metformin Hydrochloride	
55390-0004	Glucagen	
0169-7065	Glucagen Hypokit	
0002-8031	Glucagon	
0087-6060	Glucophage	
0049-4120	Glucotrol	
0087-6072	Glucovance	
68012-0003	Glumetza	
0093-8035	Glyburide	
68084-0745	Glyburide and Metformin Hydrochloride	
23155-0235	Glyburide-metformin Hydrochloride	
0713-0101	Glycerin	
0517-4601	Glycopyrrolate	
0009-5013	Glyset	
46122-0044	Gnp Acne Treatment	
24385-0413	Gnp Calamine Topical Suspension	
24385-0072	Gnp Caldyphen	
46122-0054	Gnp Hygienic Cleansing Pads	
24385-0213	Gnp Idoinde Tincture 2% Mild	
52268-0700	Golytely	
46122-0161	Good Neighbor Pharmacy	
24385-0296	Good Neighbor Pharmacy Acid Control	
46122-0224	Good Neighbor Pharmacy Acid Control 150	
46122-0205	Good Neighbor Pharmacy Acid Reducer	
24385-0188	Good Neighbor Pharmacy All Day Allergy	
24385-0175	Good Neighbor Pharmacy All Day Allergy D	
24385-0479	Good Neighbor Pharmacy Allergy	
46122-0040	Good Neighbor Pharmacy Allergy Relief	
24385-0356	Good Neighbor Pharmacy Antacid	
24385-0377	Good Neighbor Pharmacy Anti Diarrheal	
24385-0283	Good Neighbor Pharmacy Anti Itch	
24385-0291	Good Neighbor Pharmacy Anti Nausea	
24385-0165	Good Neighbor Pharmacy Arthritis Pain	
24385-0541	Good Neighbor Pharmacy Aspirin	
24385-0379	Good Neighbor Pharmacy Childrens Allergy Liquid	
24385-0361	Good Neighbor Pharmacy Childrens Ibuprofen	
46122-0105	Good Neighbor Pharmacy Childrens Pain Relief	
46122-0212	Good Neighbor Pharmacy Childrens Pain and Fever	
46122-0014	Good Neighbor Pharmacy Clearlax	
24385-0962	Good Neighbor Pharmacy Cold	
24385-0519	Good Neighbor Pharmacy Cold and Cough	
24385-0201	Good Neighbor Pharmacy Complete	
46122-0142	Good Neighbor Pharmacy Cough Dm Er	
24385-0005	Good Neighbor Pharmacy Day Time	
24385-0183	Good Neighbor Pharmacy Dayhist Allergy	
24385-0039	Good Neighbor Pharmacy Enema	
24385-0494	Good Neighbor Pharmacy Eye Itch Relief	
24385-0428	Good Neighbor Pharmacy Gas Relief	
46122-0134	Good Neighbor Pharmacy Headache Pm	
24385-0111	Good Neighbor Pharmacy Heartburn Relief	
46122-0103	Good Neighbor Pharmacy Hemorrhoidal	
24385-0905	Good Neighbor Pharmacy Ibuprofen	
24385-0465	Good Neighbor Pharmacy Ibuprofen Cold and Sinus	
46122-0145	Good Neighbor Pharmacy Ibuprofen Pm	
46122-0023	Good Neighbor Pharmacy Itchy Eye	
46122-0107	Good Neighbor Pharmacy Lansoprazole	
24385-0634	Good Neighbor Pharmacy Lice	
46122-0108	Good Neighbor Pharmacy Lice Treatment	
46122-0111	Good Neighbor Pharmacy Loperamide Hydrochloride	
24385-0471	Good Neighbor Pharmacy Loratadine	
46122-0109	Good Neighbor Pharmacy Loratadine D	
46122-0195	Good Neighbor Pharmacy Lubricating Plus	
24385-0590	Good Neighbor Pharmacy Miconazole 7	
24385-0606	Good Neighbor Pharmacy Miconazole Nitrate	
24385-0365	Good Neighbor Pharmacy Migraine Relief	
24385-0608	Good Neighbor Pharmacy Milk Of Magnesia	
46122-0028	Good Neighbor Pharmacy Mucus Er	
46122-0192	Good Neighbor Pharmacy Mucus Relief	
24385-0026	Good Neighbor Pharmacy Mucus Relief Dm	
24385-0011	Good Neighbor Pharmacy Muscle Rub	
46122-0038	Good Neighbor Pharmacy Naproxen Sodium	
46122-0165	Good Neighbor Pharmacy Nasal	
24385-0432	Good Neighbor Pharmacy Nasal Decongestant	
24385-0597	Good Neighbor Pharmacy Nicotine	
46122-0136	Good Neighbor Pharmacy Night Time	
24385-0390	Good Neighbor Pharmacy Nose	
46122-0029	Good Neighbor Pharmacy Omeprazole	
46122-0019	Good Neighbor Pharmacy Pain Relief	
24385-0437	Good Neighbor Pharmacy Pain Relief Pm	
46122-0056	Good Neighbor Pharmacy Pain and Fever	
24385-0959	Good Neighbor Pharmacy Sinus	
24385-0961	Good Neighbor Pharmacy Sinus and Allergy Pe	
24385-0431	Good Neighbor Pharmacy Sleep Aid	
24385-0601	Good Neighbor Pharmacy Stay Awake	
46122-0057	Good Neighbor Pharmacy Tabtussin	
24385-0374	Good Neighbor Pharmacy Tioconazole 1	
46122-0243	Good Neighbor Pharmacy Triple Antibiotic	
24385-0493	Good Neighbor Pharmacy Tussin	
24385-0904	Good Neighbor Pharmacy Tussin Cf	
46122-0138	Good Neighbor Pharmacy Tussin Cf Max	
24385-0578	Good Neighbor Pharmacy Tussin Dm	
46122-0139	Good Neighbor Pharmacy Tussin Dm Max	
46122-0118	Good Neighbor Pharmacy Zinc Oxide	
24385-0404	Good Neighbor Senna	
0113-0852	Good Sense Acid Reducer	
0113-9458	Good Sense All Day Allergy	
0113-0176	Good Sense All Day Allergy D	
0113-9490	Good Sense All Day Pain Relief	
0113-0571	Good Sense Aller Ease	
0113-0379	Good Sense Allergy	
0113-0476	Good Sense Allergy Multi Symptom	
0113-0479	Good Sense Allergy Relief	
0113-0013	Good Sense Allergy and Congestion Relief	
0113-0851	Good Sense Antacid	
0113-0377	Good Sense Anti Diarrheal	
0113-0973	Good Sense Anti Itch	
0113-0291	Good Sense Anti Nausea	
0113-0277	Good Sense Aspirin	
0113-0189	Good Sense Childrens All Day Allergy	
0113-0906	Good Sense Childrens Cold and Allergy	
0113-0419	Good Sense Childrens Mucus Relief Cough	
0113-0212	Good Sense Childrens Pain and Fever	
0113-0903	Good Sense Cold	
0113-0402	Good Sense Cold Head Congestion	
0113-0321	Good Sense Complete	
0113-0477	Good Sense Fiber Laxative	
0113-0657	Good Sense Gas Relief	
0113-0355	Good Sense Headache Pm	
0113-0188	Good Sense Hemorrhoidal	
0113-0685	Good Sense Ibuprofen	
0113-0050	Good Sense Ibuprofen Pm	
0113-0622	Good Sense Itch Relief	
0113-0695	Good Sense Jock Itch	
0113-0866	Good Sense Lice Killing	
0113-0645	Good Sense Loperamide Hydrochloride	
0113-0081	Good Sense Miconazole 3	
0113-0214	Good Sense Miconazole 7	
0113-0374	Good Sense Migraine Formula	
0113-0949	Good Sense Milk Of Magnesia	
0113-0288	Good Sense Mucus Relief	
0113-0388	Good Sense Nasal	
0113-0432	Good Sense Nasal Decongestant	
0113-0094	Good Sense Nasal Decongestant Pe	
0113-0648	Good Sense Nasal Four	
0113-0029	Good Sense Nicotine	
0113-0431	Good Sense Nighttime Sleep Aid	
0113-0915	Good Sense Omeprazole	
0113-0759	Good Sense Pain Relief	
0113-0751	Good Sense Pain Relief Pm	
0113-0441	Good Sense Sleep Aid	
0113-0328	Good Sense Sore Throat	
0113-0409	Good Sense Stay Awake	
0113-0337	Good Sense Stomach Relief	
0113-0486	Good Sense Stool Softener	
0113-0703	Good Sense Tussin Cf	
0113-0359	Good Sense Tussin Dm	
13913-0006	Gralise	
25021-0778	Granisetron Hydrochloride	
51079-0621	Granulex	
0884-0773	Gris-peg	
0603-9171	Griseofulvin	
50383-0087	Guaiatussin Ac	
50383-0063	Guaifenesin	
0121-1775	Guaifenesin and Codeine Phosphate	
0591-0444	Guanfacine	
68084-0748	Guanfacine Hydrochloride	
0472-0066	Hair Regrowth Treatment	
0472-0094	Hair Regrowth Treatment For Men	
0009-0017	Halcion	
51672-1322	Halobetasol Propionate	
10631-0094	Halog	
63323-0474	Haloperidol	
63323-0469	Haloperidol Decanoate	
61958-1801	Harvoni	
62011-0223	Health Mart Acid Reducer	
62011-0090	Health Mart Adult Tussin	
62011-0055	Health Mart Allergy Complete D	
62011-0059	Health Mart Allergy Relief	
62011-0120	Health Mart Allergy and Congestion	
62011-0148	Health Mart Antacid	
62011-0150	Health Mart Anti Diarrheal	
62011-0152	Health Mart Anti Nausea	
62011-0020	Health Mart Aspirin	
62011-0114	Health Mart Calamine	
62011-0132	Health Mart Calcium Antacid	
62011-0131	Health Mart Calcium Antacid Assorted Fruit	
62011-0141	Health Mart Castor Oil	
62011-0214	Health Mart Childrens Ibuprofen	
62011-0246	Health Mart Childrens Pain and Fever	
62011-0182	Health Mart Complete	
62011-0198	Health Mart Cough Dm	
62011-0154	Health Mart Enema	
62011-0105	Health Mart Eye Itch Relief	
62011-0143	Health Mart Famotidine	
62011-0067	Health Mart Fexofenadine Hydrochloride	
62011-0134	Health Mart Fiber Caplets	
62011-0160	Health Mart Gas Relief	
62011-0030	Health Mart Ibuprofen	
62011-0213	Health Mart Ibuprofen Ib	
62011-0001	Health Mart Infants Pain and Fever	
62011-0117	Health Mart Iodine Tincture Mild	
62011-0168	Health Mart Lansoprazole	
62011-0119	Health Mart Lice Killing	
62011-0151	Health Mart Loperamide Hydrochloride	
62011-0203	Health Mart Lubricating Plus	
62011-0006	Health Mart Maximum Strength Sleep Aid	
62011-0185	Health Mart Migraine Formula	
62011-0076	Health Mart Mucus Er	
62011-0084	Health Mart Multi-symptom Cold and Flu Night Time	
62011-0007	Health Mart Naproxen Sodium	
62011-0080	Health Mart Nasal	
62011-0078	Health Mart Nasal Decongestant	
62011-0077	Health Mart Nasal Decongestant Pe	
62011-0200	Health Mart Nicotine	
62011-0083	Health Mart Night Time Cold and Flu	
62011-0085	Health Mart Nose	
62011-0157	Health Mart Omeprazole	
62011-0022	Health Mart Pain Relief	
62011-0002	Health Mart Pain and Fever	
62011-0051	Health Mart Pharmacy Childrens Cetirizine Hydrochloride	
62011-0072	Health Mart Pharmacy Childrens Loratadine	
62011-0040	Health Mart Regular Strength Enteric Coated Aspirin	
62011-0139	Health Mart Simethicone	
62011-0037	Health Mart Sleep Aid	
62011-0005	Health Mart Stay Awake	
62011-0140	Health Mart Stomach Relief	
62011-0163	Health Mart Stool Softener	
62011-0060	Healthmart Chest Congestion Relief	
62011-0073	Healthmart Loratadine Odt	
68084-0430	Healthylax	
68462-0303	Heather	
0078-0616	Hecoria	
63044-0633	Hematogen Forte	
45802-0188	Hemorrhoidal	
0603-0524	Hemorrhoidal Rectal	
63323-0262	Heparin Sodium	
61958-0501	Hepsera	
0173-0832	Horizant	
62011-0118	Humco Povidone Iodine	
51079-0075	Hydralazine Hydrochloride	
0536-5105	Hydro Skin	
0603-3855	Hydrochlorothiazide	
0591-3202	Hydrocodone Bitartate and Acetaminophen	
63739-0532	Hydrocodone Bitartrate and Acetaminophen	
43386-0118	Hydrocodone Bitartrate and Homatropine Methylbromide	
57664-0203	Hydrocodone Bitartrate and Ibuprofen	
49884-0235	Hydrocodone Polistirex and Chlorpheniramine Polisitrex	
64720-0333	Hydrocortisone	
0574-7093	Hydrocortisone Acetate	
68462-0464	Hydrocortisone Butyrate	
63868-0200	Hydrocortisone Maximum Strength With Aloe	
51672-1290	Hydrocortisone Valerate	
51672-2013	Hydrocortisone With Aloe	
51672-3007	Hydrocortisone and Acetic Acid	
36800-0214	Hydrogen Peroxide	
0472-1030	Hydromet	
0591-3629	Hydromorphone Hydrochloride	
45802-0980	Hydroquinone	
45802-0338	Hydroquinone Time Release	
0536-5108	Hydroskin	
0591-2888	Hydroxocobalamin	
66993-0057	Hydroxychloroquine Sulfate	
68084-0284	Hydroxyurea	
0904-0359	Hydroxyzine	
16714-0081	Hydroxyzine Hydrochloride	
51079-0077	Hydroxyzine Pamoate	
60258-0802	Hyoscyamine Sulfate	
76439-0309	Hyoscyamine Sulfate Sl	
58980-0150	Hypercare	
68094-0852	Hyrdomorphone Hydrochloride	
0006-0745	Hyzaar	
60505-2795	Ibandronate Sodium	
63739-0442	Ibu	
45802-0952	Ibuprofen	
24385-0499	Ibuprofen Softgels	
51660-0493	Ibuprofen and Pseudoephedrine Hydrochloride	
63044-0203	Iferex 150	
63044-0198	Iferex 150 Forte	
0065-1750	Ilevro	
68180-0311	Imipramine Hydrochloride	
0054-0276	Imipramine Pamoate	
45802-0076	Imiquimod	
0173-0449	Imitrex	
65483-0590	Imuran	
0173-0873	Incruse Ellipta	
0378-0080	Indapamide	
76299-0420	Inderal Xl	
42211-0102	Indocin	
0781-2350	Indomethacin	
0904-5894	Infants Gas Relief	
15127-0042	Infants Gas Relief Drops	
63868-0076	Infants Ibuprofen	
54838-0145	Infants Silapap	
0603-0894	Infants Simethicone	
24090-0450	Innopran Xl	
52747-0711	Integra F	
52747-0712	Integra Plus	
59676-0571	Intelence	
59011-0256	Intermezzo	
0781-5584	Introvale	
54092-0519	Intuniv	
0006-3845	Invanz	
50458-0552	Invega	
50458-0564	Invega Sustenna	
0004-0244	Invirase	
0603-1329	Iophen C Nr	
0603-1330	Iophen Dm Nr	
0603-1328	Iophen Nr	
24208-0399	Ipratropium Bromide	
0093-6723	Ipratropium Bromide and Albuterol Sulfate	
68180-0412	Irbesartan	
0591-2785	Irbesartan and Hydrochlorothiazide	
50967-0126	Irospan 24/6	
58118-0071	Isoniazid	
37205-0977	Isopropyl Alcohol	
0998-0408	Isopto Tears	
0143-2260	Isosorbide	
0781-1695	Isosorbide Dinitrate	
0603-4111	Isosorbide Mononitrate	
0143-1773	Isosorrbide Dinitrate	
16252-0540	Isradipine	
24208-0004	Istalol	
0225-0495	Itch X	
0225-0516	Itch-x	
0185-0550	Itraconazole	
64661-0011	J-max	
0173-0809	Jalyn	
0832-1213	Jantoven	
0597-0153	Jardiance	
68180-0877	Jencycla	
0597-0146	Jentadueto	
0555-9123	Jolessa	
0555-9025	Junel 1/20	
0573-0179	Junior Strength Advil	
0603-4170	K-effervescent	
0074-7804	K-tab	
46987-0323	Kadian	
0074-6799	Kaletra	
0904-5779	Kao- Tin	
0904-5709	Kao-tin Peppermint Flavor	
59212-0658	Kapvay	
0555-9050	Kariva	
64764-0337	Kazano	
0555-9064	Kelnor 1/35	
10631-0093	Kenalog	
0003-0494	Kenalog-10	
0003-0293	Kenalog-40	
50474-0594	Keppra	
55724-0111	Kerydin	
0093-0900	Ketoconazole	
0378-8200	Ketoprofen	
64679-0757	Ketorolac Tromethamine	
17478-0717	Ketotifen Fumarate	
66658-0234	Kineret	
0574-2004	Kionex	
0004-0058	Klonopin	
0245-0041	Klor-con	
66758-0170	Klor-con M	
66758-0140	Klor-con/ef	
0224-0500	Konsyl Daily Therapy Fiber	
0224-1852	Konsyl Orange Flavor Psyllium Fiber - Smooth Texture	
0224-1801	Konsyl Original Formula Psyllium Fiber	
66220-0719	Kristalose	
68180-0844	Kurvelo	
76439-0218	L-methyl-b6-b12	
0185-0118	Labetalol Hcl	
0172-4366	Labetalol Hydrochloride	
25010-0805	Lacrisert	
0264-7750	Lactated Ringers	
60505-0562	Lactulose	
0173-0776	Lamictal	
0078-0499	Lamisil	
0067-8100	Lamisil At	
60505-3250	Lamivudine	
0093-5385	Lamivudine and Zidovudine	
60505-2680	Lamotrigine	
24987-0262	Lanoxin	
68382-0543	Lansoprazole	
16714-0407	Larin 1.5/30	
16714-0408	Larin 1/20	
16714-0406	Larin Fe 1/20	
0039-0060	Lasix	
0023-4290	Lastacaft	
24208-0463	Latanoprost	
63402-0304	Latuda	
15127-0178	Laxative	
15127-0549	Laxative Pills	
37205-0446	Leader 12 Hour Nasal Decongestant	
37205-0477	Leader 8 Hour Pain Reliever	
37205-0712	Leader Adult Tussin Dm	
37205-0224	Leader Advanced Formula	
37205-0195	Leader Alertness Aid	
37205-0825	Leader All Day Allergy	
37205-0650	Leader Aller Ease	
37205-0940	Leader Allergy Multi Symptom	
37205-0348	Leader Allergy Relief D-24	
37205-0228	Leader Allerhist	
37205-0205	Leader Antacid	
37205-0377	Leader Anti Diarrheal	
37205-0278	Leader Anti Itch Maximum Strength	
37205-0291	Leader Anti Nausea	
37205-0197	Leader Antifungal Tolnaftate	
37205-0034	Leader Arthritis Pain Reliever	
37205-0429	Leader Aspirin	
37205-0275	Leader Bacitracin	
37205-0130	Leader Caldyphen	
37205-0281	Leader Caldyphen Clear	
37205-0565	Leader Childrens Allergy	
37205-0931	Leader Childrens Cold and Allergy	
37205-0969	Leader Childrens Cold and Cough	
37205-0993	Leader Childrens Mucus Relief Cough	
37205-0676	Leader Childrens Pain and Fever	
37205-0828	Leader Cold Head Congestion	
37205-0698	Leader Cough Dm	
37205-0466	Leader Cough Tabs	
37205-0603	Leader Dry Eye Relief	
37205-0213	Leader Fiber	
37205-0162	Leader Hydrocortisone	
37205-0272	Leader Hydrocortisone With Aloe	
37205-0643	Leader Ibuprofen	
37205-0119	Leader Infants Gas Relief	
37205-0575	Leader Infants Pain and Fever	
37205-0346	Leader Loratadine	
37205-0636	Leader Lubricant Eye Drops	
37205-0294	Leader Maximum Strength Laxative	
37205-0998	Leader Medicated	
37205-0280	Leader Migraine Formula	
37205-0459	Leader Milk Of Magnesia	
37205-0854	Leader Naproxen Sodium	
37205-0203	Leader Nicotine	
37205-0586	Leader Nite Time	
37205-0483	Leader Nose	
37205-0837	Leader Omeprazole	
37205-0139	Leader Original Formula	
37205-0577	Leader Pain and Fever	
37205-0194	Leader Restfully Sleep	
37205-0241	Leader Senna Laxative	
37205-0951	Leader Stomach Relief	
37205-0273	Leader Triple Antibiotic	
37205-0266	Leader Triple Antibiotic Plus	
37205-0709	Leader Tussin Cf	
37205-0970	Leader Tussin Dm	
37205-0298	Leader Womens Laxative	
52544-0219	Leena	
0093-0173	Leflunomide	
0078-0234	Lescol	
0555-9014	Lessina	
0093-7620	Letrozole	
63323-0710	Leucovorin Calcium	
76388-0635	Leukeran	
0378-9682	Levalbuterol	
0378-6993	Levalbuterol Hydrochloride	
43598-0409	Levalbuterol Inhalation	
50458-0168	Levaquin	
63323-0400	Levetiracetam	
0173-0830	Levitra	
60758-0063	Levobunolol Hydrochloride	
64980-0503	Levocarnitine	
0093-7701	Levocetirizine Dihydrochloride	
63323-0355	Levofloxacin	
16714-0340	Levonest	
52544-0287	Levonorgestrel	
0378-7287	Levonorgestrel and Ethinyl Estradiol	
68180-0848	Levonorgestrel and Ethinyl Estradiol and Ethinyl Estradiol	
52544-0279	Levora	
0054-0438	Levorphanol Tartrate	
0378-1800	Levothyroxine Sodium	
60793-0860	Levoxyl	
0456-2005	Lexapro	
49702-0208	Lexiva	
54092-0476	Lialda	
0904-2528	Lice Killing	
0363-0955	Lice Treatment	
63323-0201	Lidocaine	
59088-0997	Lidocaine Hcl	
59088-0819	Lidocaine Hcl - Hydrocortisone Acetate	
0409-4270	Lidocaine Hydrochloride	
55154-0132	Lidocaine Hydrochloride and Epinephrine	
13925-0163	Lidocaine Hydrochloride and Hydrocortisone Acetate	
0054-8500	Lidocaine Viscous	
50383-0667	Lidocaine and Prilocaine	
63481-0687	Lidoderm	
60432-0834	Lindane	
0456-1202	Linzess	
0378-3612	Liothyronine Sodium	
0071-0156	Lipitor	
66869-0147	Lipofen	
0904-5017	Liquitears	
51079-0261	Lisinopril	
0378-1012	Lisinopril and Hydrochlorothiazide	
68094-0757	Lithium	
0143-1277	Lithium Carbonate	
68968-4492	Lithobid	
66869-0404	Livalo	
0430-0420	Lo Loestrin Fe	
25010-0711	Lodosyn	
0095-0860	Lodrane D	
65162-0316	Lomedia 24 Fe	
0025-0066	Lomotil	
62011-0158	Loperamide Hcl	
0093-0311	Loperamide Hydrochloride	
69238-1252	Lopreeza	
99207-0010	Loprox	
54838-0558	Loratadine	
51660-0526	Loratadine Allergy Relief	
45802-0106	Loratadine D	
45802-0008	Loratadine D 24 Hour	
36800-0528	Loratadine Odt	
51660-0491	Loratadine and Pseudoephedrine	
0904-5833	Loratadine and Pseudoephedrine Sulfate	
0409-1985	Lorazepam	
68308-0223	Lorcet	
0095-9090	Lortab	
50474-0932	Lortab 5/325	
0781-5656	Loryna	
68025-0047	Lorzone	
68645-0407	Losartan Potassium	
59746-0335	Losartan Potassium Tablets, 25 Mg	
59746-0337	Losartan Potassium and Hydrochlorothiazide	
51285-0092	Loseasonique	
68382-0135	Losortan Potassium	
24208-0299	Lotemax	
0078-0406	Lotrel	
0085-0924	Lotrisone	
65483-0895	Lotronex	
68788-0074	Lovastatin	
0173-0783	Lovaza	
0075-8018	Lovenox	
16103-0366	Low Dose Aspirin	
52544-0847	Low-ogestrel	
0378-7025	Loxapine	
0904-6329	Lubricating Plus	
0904-5168	Lubrifresh P.m.	
44946-1016	Ludent	
0023-3205	Lumigan	
63402-0191	Lunesta	
0074-3642	Lupron Depot	
52544-0949	Lutera	
99207-0850	Luzu	
0071-1012	Lyrica	
55566-2110	Lysteda	
50102-0100	Lyza	
33992-0029	Magnesium Citrate	
76439-0217	Magnesium Oxide	
0904-7822	Major Clotrimazole	
0904-7889	Major Dok Docusate Sodium	
0904-5458	Major Extra Strength Gas Relief	
0904-1102	Major Povidone Iodine	
0904-5304	Major Prep Hemorrhoidal	
0904-6334	Major Redness Reliever Eye	
0904-5572	Major Ultra Strength Gas Relief	
51672-5277	Malathion	
0904-5769	Mapap Arthritis Pain	
0409-1560	Marcaine	
0682-0804	Margesic	
68462-0388	Marlissa	
52544-0695	Matzim La	
0074-2278	Mavik	
0006-3801	Maxalt	
0998-0615	Maxidex	
0603-0211	Maximum Strength Mytab For Gas	
63868-0146	Maximum Strength Suphedrine	
0597-0121	Maximum Strength Zantac	
58605-0422	Maxiphen	
10267-3206	Meclizine	
0536-3990	Meclizine Hcl	
0378-5485	Meclizine Hydrochloride	
0904-5059	Medi-pads	
62011-0075	Medicated Chest	
0009-0049	Medrol	
0703-6811	Medroxyprogesterone Acetate	
0603-4372	Mefenamic Acid	
0781-5076	Mefloquine Hydrochloride	
49884-0949	Megace Es	
0054-3542	Megestrol Acetate	
68382-0050	Meloxicam	
61570-0072	Menest	
50419-0455	Menostar	
0603-4415	Meperidine Hydrochloride	
0187-1704	Mephyton	
51672-4147	Meprobamate	
0173-0665	Mepron	
0054-4581	Mercaptopurine	
43386-0510	Mesalamine	
0187-3010	Mestinon	
53014-0580	Metadate Cd	
53014-0594	Metadate Er	
65162-0553	Metaxalone	
50742-0154	Metformin Hydrochloride	
0904-5794	Metformin Hydrochloride Extended Release	
0406-5755	Methadone Hydrochloride	
0378-8115	Methamphetamine Hydrochloride	
0781-1071	Methazolamide	
43199-0020	Methenamine Hippurate	
13925-0107	Methenamine Mandelate	
49884-0641	Methimazole	
63739-0167	Methocarbamol	
63323-0122	Methotrexate	
66758-0040	Methotrexate Sodium	
51991-0191	Methscopolamine Bromide	
0378-0160	Methyclothiazide	
51079-0200	Methyldopa	
0517-0740	Methylergonovine Maleate	
0406-3010	Methylphenidate Hcl Oral Solution	
68084-0816	Methylphenidate Hydrochloride	
62175-0155	Methylphenidate Hydrochloride Cd	
0603-4593	Methylprednisolone	
0703-0045	Methylprednisolone Acetate	
0603-4614	Metoclopramide	
16714-0062	Metoclopramide Hydrochloride	
0378-6172	Metolazone	
54458-0302	Metoprolol Succinate	
