dea_schedule	description	labeler	nonproprietary_name	package_code	package_ndc	price_per_unit	product_code	product_ndc	proprietary_name	unit
	DOXYCYCLINE HYCLATE 100 MG TAB	67253	Doxycycline Hyclate	50	67253-0391-50	1.87318	0391	67253-0391	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 100 MG TAB	67405	Doxycycline Hyclate	05	67405-0550-05	1.87318	0550	67405-0550	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 100 MG TAB	67405	Doxycycline Hyclate	55	67405-0550-55	1.87318	0550	67405-0550	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 100 MG TAB	69097	Doxycycline Hyclate	12	69097-0227-12	1.87318	0227	69097-0227	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 100 MG TAB	69097	Doxycycline Hyclate	70	69097-0227-70	1.87318	0227	69097-0227	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 100 MG TAB	69235	Doxycycline Hyclate	05	69235-0320-05	1.87318	0320	69235-0320	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 100 MG TAB	69235	Doxycycline Hyclate	50	69235-0320-50	1.87318	0320	69235-0320	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 20 MG TAB	0527	Doxycycline Hyclate	01	0527-1336-01	0.40060	1336	0527-1336	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 20 MG TAB	53489	Doxycycline Hyclate	01	53489-0647-01	0.40060	0647	53489-0647	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 20 MG TAB	68047	Doxycycline Hyclate	01	68047-0714-01	0.40060	0714	68047-0714	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 20 MG TAB	68047	Doxycycline Hyclate	60	68047-0714-60	0.40060	0714	68047-0714	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 50 MG CAP	0143	Doxycycline Hyclate	50	0143-3141-50	1.24536	3141	0143-3141	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 50 MG CAP	0378	Doxycycline	89	0378-0145-89	1.24536	0145	0378-0145	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 50 MG CAP	0591	Doxycycline Hyclate	50	0591-5535-50	1.24536	5535	0591-5535	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 50 MG CAP	0904	Doxycycline Hyclate	51	0904-0427-51	1.24536	0427	0904-0427	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 50 MG CAP	53489	Doxycycline Hyclate	02	53489-0118-02	1.24536	0118	53489-0118	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 50 MG CAP	53489	Doxycycline Hyclate	05	53489-0118-05	1.24536	0118	53489-0118	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 50 MG CAP	57237	Doxycycline Hyclate	25	57237-0103-25	1.24536	0103	57237-0103	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 50 MG CAP	57237	Doxycycline Hyclate	60	57237-0103-60	1.24536	0103	57237-0103	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 50 MG CAP	67253	Doxycycline Hyclate	15	67253-0388-15	1.24536	0388	67253-0388	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 50 MG CAP	67405	Doxycycline Hyclate	55	67405-0650-55	1.24536	0650	67405-0650	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 50 MG CAP	69097	Doxycycline Hyclate	70	69097-0225-70	1.24536	0225	69097-0225	Doxycycline Hyclate	EA	
	DOXYCYCLINE HYCLATE 50 MG CAP	69235	Doxycycline Hyclate	05	69235-0350-05	1.24536	0350	69235-0350	Doxycycline Hyclate	EA	
	DOXYCYCLINE MONO 100 MG CAP	0591	Doxycycline	50	0591-0411-50	0.47877	0411	0591-0411	Doxycycline Monohydrate	EA	
	DOXYCYCLINE MONO 100 MG CAP	49884	Doxycycline	03	49884-0727-03	0.47877	0727	49884-0727	Doxycycline	EA	
	DOXYCYCLINE MONO 100 MG CAP	49884	Doxycycline	04	49884-0727-04	0.47877	0727	49884-0727	Doxycycline	EA	
	DOXYCYCLINE MONO 100 MG CAP	63304	Doxycycline	50	63304-0616-50	0.47877	0616	63304-0616	Doxycycline	EA	
	DOXYCYCLINE MONO 100 MG CAP	68084	Doxycycline	32	68084-0743-32	0.47877	0743	68084-0743	Doxycycline	EA	
	DOXYCYCLINE MONO 100 MG CAP	68180	Doxycycline	08	68180-0652-08	0.47877	0652	68180-0652	Doxycycline	EA	
	DOXYCYCLINE MONO 100 MG TABLET	0378	Doxycycline	89	0378-6023-89	1.30902	6023	0378-6023	Doxycycline	EA	
	DOXYCYCLINE MONO 100 MG TABLET	0527	Doxycycline	25	0527-1338-25	1.30902	1338	0527-1338	Doxycycline	EA	
	DOXYCYCLINE MONO 100 MG TABLET	0527	Doxycycline	50	0527-1338-50	1.30902	1338	0527-1338	Doxycycline	EA	
	DOXYCYCLINE MONO 100 MG TABLET	23155	Doxycycline	25	23155-0135-25	1.30902	0135	23155-0135	Doxycycline	EA	
	DOXYCYCLINE MONO 100 MG TABLET	49884	Doxycycline	03	49884-0093-03	1.30902	0093	49884-0093	Doxycycline	EA	
	DOXYCYCLINE MONO 100 MG TABLET	49884	Doxycycline	04	49884-0093-04	1.30902	0093	49884-0093	Doxycycline	EA	
	DOXYCYCLINE MONO 150 MG TABLET	0378	Doxycycline	93	0378-6124-93	4.24593	6124	0378-6124	Doxycycline	EA	
	DOXYCYCLINE MONO 150 MG TABLET	0527	Doxycycline	30	0527-1537-30	4.24593	1537	0527-1537	Doxycycline	EA	
	DOXYCYCLINE MONO 150 MG TABLET	23155	Doxycycline	03	23155-0136-03	4.24593	0136	23155-0136	Doxycycline	EA	
	DOXYCYCLINE MONO 150 MG TABLET	49884	Doxycycline	11	49884-0236-11	4.24593	0236	49884-0236	Doxycycline	EA	
	DOXYCYCLINE MONO 50 MG CAP	0591	Doxycycline	01	0591-0410-01	0.30782	0410	0591-0410	Doxycycline Monohydrate	EA	
	DOXYCYCLINE MONO 50 MG CAP	49884	Doxycycline	01	49884-0726-01	0.30782	0726	49884-0726	Doxycycline	EA	
	DOXYCYCLINE MONO 50 MG CAP	68180	Doxycycline	01	68180-0650-01	0.30782	0650	68180-0650	Doxycycline	EA	
	DOXYCYCLINE MONO 50 MG TABLET	0378	Doxycycline	01	0378-6021-01	0.51410	6021	0378-6021	Doxycycline	EA	
	DOXYCYCLINE MONO 50 MG TABLET	0527	Doxycycline	01	0527-1335-01	0.51410	1335	0527-1335	Doxycycline	EA	
	DOXYCYCLINE MONO 50 MG TABLET	23155	Doxycycline	01	23155-0133-01	0.51410	0133	23155-0133	Doxycycline	EA	
	DOXYCYCLINE MONO 50 MG TABLET	49884	Doxycycline	01	49884-0091-01	0.51410	0091	49884-0091	Doxycycline	EA	
	DOXYCYCLINE MONO 75 MG CAPSULE	0591	Doxycycline	01	0591-2404-01	13.48933	2404	0591-2404	Doxycycline Monohydrate	EA	
	DOXYCYCLINE MONO 75 MG CAPSULE	63304	Doxycycline	01	63304-0615-01	13.48933	0615	63304-0615	Doxycycline	EA	
	DOXYCYCLINE MONO 75 MG CAPSULE	68180	Doxycycline	01	68180-0651-01	13.48933	0651	68180-0651	Doxycycline	EA	
	DOXYCYCLINE MONO 75 MG TABLET	0378	Doxycycline	01	0378-6022-01	0.86960	6022	0378-6022	Doxycycline	EA	
	DOXYCYCLINE MONO 75 MG TABLET	0527	Doxycycline	01	0527-1535-01	0.86960	1535	0527-1535	Doxycycline	EA	
	DOXYCYCLINE MONO 75 MG TABLET	23155	Doxycycline	01	23155-0134-01	0.86960	0134	23155-0134	Doxycycline	EA	
	DOXYCYCLINE MONO 75 MG TABLET	49884	Doxycycline	01	49884-0092-01	0.86960	0092	49884-0092	Doxycycline	EA	
	DR. SMITH'S DIAPER OINTMENT	0178	Zinc Oxide	02	0178-0330-02	0.10215	0330	0178-0330	Dr Smiths Diaper	GM	
	DRIMINATE 50 MG TABLET	0904	Dimenhydrinate	12	0904-2051-12	0.05863	2051	0904-2051	Driminate	EA	
	DRIMINATE 50 MG TABLET	0904	Dimenhydrinate	59	0904-2051-59	0.05863	2051	0904-2051	Driminate	EA	
	DRISTAN COLD MULTI-SYMP TAB	0573	Acetaminophen, Chlorpheniramine Maleate, Phenylephrine Hcl	21	0573-1238-21	0.19425	1238	0573-1238	Dristan Cold Multisymptom	EA	
	DRISTAN LONG LASTING MIST	0573	Oxymetazoline Hydrochloride	20	0573-1191-20	0.32361	1191	0573-1191	Dristan 12 Hr	ML	
CIII	DRONABINOL 10 MG CAPSULE	0378	Dronabinol	91	0378-8172-91	10.60093	8172	0378-8172	Dronabinol	EA	
CIII	DRONABINOL 10 MG CAPSULE	0591	Dronabinol	60	0591-3593-60	10.60093	3593	0591-3593	Dronabinol	EA	
CIII	DRONABINOL 10 MG CAPSULE	17478	Dronabinol	06	17478-0763-06	10.60093	0763	17478-0763	Dronabinol	EA	
CIII	DRONABINOL 10 MG CAPSULE	49884	Dronabinol	02	49884-0869-02	10.60093	0869	49884-0869	Dronabinol	EA	
CIII	DRONABINOL 2.5 MG CAPSULE	0378	Dronabinol	91	0378-8170-91	3.12004	8170	0378-8170	Dronabinol	EA	
CIII	DRONABINOL 2.5 MG CAPSULE	0591	Dronabinol	60	0591-3591-60	3.12004	3591	0591-3591	Dronabinol	EA	
CIII	DRONABINOL 2.5 MG CAPSULE	17478	Dronabinol	06	17478-0761-06	3.12004	0761	17478-0761	Dronabinol	EA	
CIII	DRONABINOL 2.5 MG CAPSULE	49884	Dronabinol	02	49884-0867-02	3.12004	0867	49884-0867	Dronabinol	EA	
CIII	DRONABINOL 2.5 MG CAPSULE	68084	Dronabinol	01	68084-0174-01	3.12004	0174	68084-0174	Dronabinol	EA	
CIII	DRONABINOL 2.5 MG CAPSULE	68084	Dronabinol	11	68084-0174-11	3.12004	0174	68084-0174	Dronabinol	EA	
CIII	DRONABINOL 5 MG CAPSULE	0378	Dronabinol	91	0378-8171-91	5.34887	8171	0378-8171	Dronabinol	EA	
CIII	DRONABINOL 5 MG CAPSULE	0591	Dronabinol	60	0591-3592-60	5.34887	3592	0591-3592	Dronabinol	EA	
CIII	DRONABINOL 5 MG CAPSULE	17478	Dronabinol	06	17478-0762-06	5.34887	0762	17478-0762	Dronabinol	EA	
CIII	DRONABINOL 5 MG CAPSULE	49884	Dronabinol	02	49884-0868-02	5.34887	0868	49884-0868	Dronabinol	EA	
CIII	DRONABINOL 5 MG CAPSULE	68084	Dronabinol	11	68084-0175-11	5.34887	0175	68084-0175	Dronabinol	EA	
CIII	DRONABINOL 5 MG CAPSULE	68084	Dronabinol	21	68084-0175-21	5.34887	0175	68084-0175	Dronabinol	EA	
	DROSPIRENONE-ETH ESTRADIOL TAB	68180	Drospirenone and Ethinyl Estradiol	11	68180-0902-11	1.42120	0902	68180-0902	Drospirenone and Ethinyl Estradiol	EA	
	DROSPIRENONE-ETH ESTRADIOL TAB	68180	Drospirenone and Ethinyl Estradiol	13	68180-0902-13	1.42120	0902	68180-0902	Drospirenone and Ethinyl Estradiol	EA	
	DUAC 1.2-5% GEL	0145	Clindamycin Phosphate and Benzoyl Peroxide	05	0145-2371-05	6.15935	2371	0145-2371	Duac	GM	
	DUAVEE 0.45-20 MG TABLET	0008	Conjugated Estrogens/bazedoxifene	12	0008-1123-12	4.29141	1123	0008-1123	Duavee	EA	
	DUCODYL EC 5 MG TABLET	62107	Bisacodyl	01	62107-0030-01	0.02615	0030	62107-0030	Health Sense Ducodyl	EA	
	DUCODYL EC 5 MG TABLET	62107	Bisacodyl	10	62107-0030-10	0.02615	0030	62107-0030	Health Sense Ducodyl	EA	
	DUETACT 30-2 MG TABLET	64764	Pioglitazone and Glimepiride	30	64764-0302-30	15.37250	0302	64764-0302	Duetact	EA	
	DUETACT 30-4 MG TABLET	64764	Pioglitazone and Glimepiride	30	64764-0304-30	15.68401	0304	64764-0304	Duetact	EA	
	DUEXIS 800-26.6 MG TABLET	75987	Ibuprofen and Famotidine	03	75987-0010-03	14.98992	0010	75987-0010	Duexis	EA	
	DULCOLAX EC 5 MG TABLET	0597	Bisacodyl	59	0597-0012-59	0.10560	0012	0597-0012	Dulcolax	EA	
	DULERA 100 MCG/5 MCG INHALER	0085	Mometasone Furoate and Formoterol Fumarate Dihydrate	07	0085-7206-07	18.95425	7206	0085-7206	Dulera	GM	
	DULERA 100 MCG/5 MCG INHALER	0085	Mometasone Furoate and Formoterol Fumarate Dihydrate	01	0085-7206-01	19.13586	7206	0085-7206	Dulera	GM	
	DULERA 200 MCG/5 MCG INHALER	0085	Mometasone Furoate and Formoterol Fumarate Dihydrate	01	0085-4610-01	19.02888	4610	0085-4610	Dulera	GM	
	DULERA 200 MCG/5 MCG INHALER	0085	Mometasone Furoate and Formoterol Fumarate Dihydrate	05	0085-4610-05	19.06130	4610	0085-4610	Dulera	GM	
	DULOXETINE HCL DR 20 MG CAP	0093	Duloxetine	06	0093-7542-06	1.06733	7542	0093-7542	Duloxetine	EA	
	DULOXETINE HCL DR 20 MG CAP	0228	Duloxetine	06	0228-2890-06	1.06733	2890	0228-2890	Duloxetine	EA	
	DULOXETINE HCL DR 20 MG CAP	0904	Duloxetin Hydrochloride	61	0904-6366-61	1.06733	6366	0904-6366	Duloxetine Hydrochloride	EA	
	DULOXETINE HCL DR 20 MG CAP	13668	Duloxetin Hydrochloride	60	13668-0109-60	1.06733	0109	13668-0109	Duloxetine Hydrochloride	EA	
	DULOXETINE HCL DR 20 MG CAP	13811	Duloxetine	60	13811-0662-60	1.06733	0662	13811-0662	Duloxetine	EA	
	DULOXETINE HCL DR 20 MG CAP	47335	Duloxetine	86	47335-0381-86	1.06733	0381	47335-0381	Duloxetine	EA	
	DULOXETINE HCL DR 20 MG CAP	47335	Duloxetine	88	47335-0381-88	1.06733	0381	47335-0381	Duloxetine	EA	
	DULOXETINE HCL DR 20 MG CAP	51991	Duloxetine Hydrochloride	05	51991-0746-05	1.06733	0746	51991-0746	Duloxetine	EA	
	DULOXETINE HCL DR 20 MG CAP	51991	Duloxetine Hydrochloride	90	51991-0746-90	1.06733	0746	51991-0746	Duloxetine	EA	
	DULOXETINE HCL DR 20 MG CAP	55111	Duloxetine	60	55111-0608-60	1.06733	0608	55111-0608	Duloxetine	EA	
	DULOXETINE HCL DR 20 MG CAP	57237	Duloxetine Hydrochloride	60	57237-0017-60	1.06733	0017	57237-0017	Duloxetine	EA	
	DULOXETINE HCL DR 20 MG CAP	60505	Duloxetine Hydrochloride	06	60505-2995-06	1.06733	2995	60505-2995	Duloxetine Hydrochloride	EA	
	DULOXETINE HCL DR 20 MG CAP	66993	Duloxetine Hydrochloride	60	66993-0075-60	1.06733	0075	66993-0075	Duloxetine	EA	
	DULOXETINE HCL DR 20 MG CAP	66993	Duloxetine Hydrochloride	60	66993-0662-60	1.06733	0662	66993-0662	Duloxetine	EA	
	DULOXETINE HCL DR 20 MG CAP	68001	Duloxetine	06	68001-0255-06	1.06733	0255	68001-0255	Duloxetine	EA	
	DULOXETINE HCL DR 20 MG CAP	68084	Duloxetine	11	68084-0675-11	1.06733	0675	68084-0675	Duloxetine	EA	
	DULOXETINE HCL DR 20 MG CAP	68084	Duloxetine	21	68084-0675-21	1.06733	0675	68084-0675	Duloxetine	EA	
	DULOXETINE HCL DR 20 MG CAP	68180	Duloxetine	03	68180-0294-03	1.06733	0294	68180-0294	Duloxetine	EA	
	DULOXETINE HCL DR 20 MG CAP	68180	Duloxetine	06	68180-0294-06	1.06733	0294	68180-0294	Duloxetine	EA	
	DULOXETINE HCL DR 20 MG CAP	68180	Duloxetine	07	68180-0294-07	1.06733	0294	68180-0294	Duloxetine	EA	
	DULOXETINE HCL DR 20 MG CAP	68382	Duloxetine	14	68382-0385-14	1.06733	0385	68382-0385	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	0093	Duloxetine	56	0093-7543-56	0.78054	7543	0093-7543	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	0228	Duloxetine	03	0228-2891-03	0.78054	2891	0228-2891	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	0228	Duloxetine	50	0228-2891-50	0.78054	2891	0228-2891	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	0904	Duloxetin Hydrochloride	61	0904-6367-61	0.78054	6367	0904-6367	Duloxetine Hydrochloride	EA	
	DULOXETINE HCL DR 30 MG CAP	13668	Duloxetin Hydrochloride	05	13668-0110-05	0.78054	0110	13668-0110	Duloxetine Hydrochloride	EA	
	DULOXETINE HCL DR 30 MG CAP	13668	Duloxetin Hydrochloride	30	13668-0110-30	0.78054	0110	13668-0110	Duloxetine Hydrochloride	EA	
	DULOXETINE HCL DR 30 MG CAP	13811	Duloxetine	01	13811-0663-01	0.78054	0663	13811-0663	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	13811	Duloxetine	30	13811-0663-30	0.78054	0663	13811-0663	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	47335	Duloxetine	81	47335-0382-81	0.78054	0382	47335-0382	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	47335	Duloxetine	83	47335-0382-83	0.78054	0382	47335-0382	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	51991	Duloxetine Hydrochloride	10	51991-0747-10	0.78054	0747	51991-0747	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	51991	Duloxetine Hydrochloride	90	51991-0747-90	0.78054	0747	51991-0747	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	55111	Duloxetine	30	55111-0609-30	0.78054	0609	55111-0609	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	57237	Duloxetine Hydrochloride	30	57237-0018-30	0.78054	0018	57237-0018	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	57237	Duloxetine Hydrochloride	90	57237-0018-90	0.78054	0018	57237-0018	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	57237	Duloxetine Hydrochloride	99	57237-0018-99	0.78054	0018	57237-0018	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	60505	Duloxetine Hydrochloride	03	60505-2996-03	0.78054	2996	60505-2996	Duloxetine Hydrochloride	EA	
	DULOXETINE HCL DR 30 MG CAP	66993	Duloxetine Hydrochloride	30	66993-0076-30	0.78054	0076	66993-0076	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	66993	Duloxetine Hydrochloride	05	66993-0663-05	0.78054	0663	66993-0663	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	66993	Duloxetine Hydrochloride	30	66993-0663-30	0.78054	0663	66993-0663	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	68001	Duloxetine	04	68001-0256-04	0.78054	0256	68001-0256	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	68001	Duloxetine	05	68001-0256-05	0.78054	0256	68001-0256	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	68084	Duloxetine	01	68084-0683-01	0.78054	0683	68084-0683	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	68084	Duloxetine	11	68084-0683-11	0.78054	0683	68084-0683	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	68180	Duloxetine	03	68180-0295-03	0.78054	0295	68180-0295	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	68180	Duloxetine	06	68180-0295-06	0.78054	0295	68180-0295	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	68180	Duloxetine	09	68180-0295-09	0.78054	0295	68180-0295	Duloxetine	EA	
	DULOXETINE HCL DR 30 MG CAP	68382	Duloxetine	06	68382-0386-06	0.78054	0386	68382-0386	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	0093	Duloxetine	56	0093-7544-56	0.70743	7544	0093-7544	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	0228	Duloxetine	03	0228-2892-03	0.70743	2892	0228-2892	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	0228	Duloxetine	96	0228-2892-96	0.70743	2892	0228-2892	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	0904	Duloxetin Hydrochloride	61	0904-6368-61	0.70743	6368	0904-6368	Duloxetine Hydrochloride	EA	
	DULOXETINE HCL DR 60 MG CAP	13668	Duloxetin Hydrochloride	05	13668-0111-05	0.70743	0111	13668-0111	Duloxetine Hydrochloride	EA	
	DULOXETINE HCL DR 60 MG CAP	13668	Duloxetin Hydrochloride	30	13668-0111-30	0.70743	0111	13668-0111	Duloxetine Hydrochloride	EA	
	DULOXETINE HCL DR 60 MG CAP	13811	Duloxetine	01	13811-0664-01	0.70743	0664	13811-0664	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	13811	Duloxetine	30	13811-0664-30	0.70743	0664	13811-0664	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	47335	Duloxetine	18	47335-0383-18	0.70743	0383	47335-0383	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	47335	Duloxetine	83	47335-0383-83	0.70743	0383	47335-0383	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	51991	Duloxetine Hydrochloride	10	51991-0748-10	0.70743	0748	51991-0748	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	51991	Duloxetine Hydrochloride	90	51991-0748-90	0.70743	0748	51991-0748	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	55111	Duloxetine	10	55111-0610-10	0.70743	0610	55111-0610	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	55111	Duloxetine	30	55111-0610-30	0.70743	0610	55111-0610	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	57237	Duloxetine Hydrochloride	30	57237-0019-30	0.70743	0019	57237-0019	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	57237	Duloxetine Hydrochloride	90	57237-0019-90	0.70743	0019	57237-0019	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	57237	Duloxetine Hydrochloride	99	57237-0019-99	0.70743	0019	57237-0019	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	60505	Duloxetine Hydrochloride	03	60505-2997-03	0.70743	2997	60505-2997	Duloxetine Hydrochloride	EA	
	DULOXETINE HCL DR 60 MG CAP	66993	Duloxetine Hydrochloride	30	66993-0077-30	0.70743	0077	66993-0077	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	66993	Duloxetine Hydrochloride	05	66993-0664-05	0.70743	0664	66993-0664	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	66993	Duloxetine Hydrochloride	30	66993-0664-30	0.70743	0664	66993-0664	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	68001	Duloxetine	04	68001-0257-04	0.70743	0257	68001-0257	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	68084	Duloxetine	01	68084-0692-01	0.70743	0692	68084-0692	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	68084	Duloxetine	11	68084-0692-11	0.70743	0692	68084-0692	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	68180	Duloxetine	03	68180-0296-03	0.70743	0296	68180-0296	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	68180	Duloxetine	06	68180-0296-06	0.70743	0296	68180-0296	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	68180	Duloxetine	09	68180-0296-09	0.70743	0296	68180-0296	Duloxetine	EA	
	DULOXETINE HCL DR 60 MG CAP	68382	Duloxetine	06	68382-0387-06	0.70743	0387	68382-0387	Duloxetine	EA	
	DURAFLU TABLET	50991	Acetaminophen, Dextromethorphan Hbr, Guaifenesin, Pseudoephedrine Hcl	01	50991-0510-01	0.82292	0510	50991-0510	Duraflu	EA	
CII	DURAGESIC 100 MCG/HR PATCH	50458	Fentanyl	05	50458-0094-05	119.33711	0094	50458-0094	Duragesic	EA	
CII	DURAGESIC 12 MCG/HR PATCH	50458	Fentanyl	05	50458-0090-05	26.82994	0090	50458-0090	Duragesic	EA	
CII	DURAGESIC 25 MCG/HR PATCH	50458	Fentanyl	05	50458-0091-05	32.12022	0091	50458-0091	Duragesic	EA	
CII	DURAGESIC 50 MCG/HR PATCH	50458	Fentanyl	05	50458-0092-05	58.53980	0092	50458-0092	Duragesic	EA	
CII	DURAGESIC 75 MCG/HR PATCH	50458	Fentanyl	05	50458-0093-05	91.02200	0093	50458-0093	Duragesic	EA	
	DUREZOL 0.05% EYE DROPS	0065	Durezol	07	0065-9240-07	28.12908	9240	0065-9240	Durezol	ML	
	DUTOPROL 25-12.5 MG TABLET	0310	Metoprolol Succinate and Hydrochlorothiazide	30	0310-1087-30	5.25649	1087	0310-1087	Dutoprol	EA	
	DUTOPROL 25-12.5 MG TABLET	24987	Metoprolol Succinate and Hydrochlorothiazide	30	24987-0087-30	5.25649	0087	24987-0087	Dutoprol	EA	
	DUTOPROL 50-12.5 MG TABLET	0310	Metoprolol Succinate and Hydrochlorothiazide	30	0310-1095-30	5.14359	1095	0310-1095	Dutoprol	EA	
	DUTOPROL 50-12.5 MG TABLET	24987	Metoprolol Succinate and Hydrochlorothiazide	30	24987-0095-30	5.14359	0095	24987-0095	Dutoprol	EA	
	DYAZIDE 37.5-25 CAPSULE	0007	Hydrochlorothiazide and Triamterene	22	0007-3650-22	1.51610	3650	0007-3650	Dyazide	EA	
	DYAZIDE 37.5-25 CAPSULE	0007	Hydrochlorothiazide and Triamterene	30	0007-3650-30	1.51610	3650	0007-3650	Dyazide	EA	
	DYMISTA NASAL SPRAY	0037	Azelastine Hydrochloride and Fluticasone Propionate	23	0037-0245-23	6.75224	0245	0037-0245	Dymista	GM	
	E.E.S. 200 MG/5 ML GRANULES	24338	Erythromycin Ethylsuccinate	10	24338-0136-10	2.38053	0136	24338-0136	E.e.s	ML	
	E.E.S. 200 MG/5 ML GRANULES	24338	Erythromycin Ethylsuccinate	02	24338-0134-02	2.88264	0134	24338-0134	E.e.s	ML	
	E.E.S. 400 FILMTAB	24338	Erythromycin Ethylsuccinate	13	24338-0100-13	7.72068	0100	24338-0100	E.e.s	EA	
	EAR DROPS 6.5%	0904		35	0904-3220-35	0.13018	3220	0904-3220		ML	
	EAR DROPS 6.5%	0904	Carbamide Peroxide	35	0904-6316-35	0.13018	6316	0904-6316	Earwax Removal Aid	ML	
	EAR DROPS 6.5%	24385	Carbamide Peroxide	01	24385-0955-01	0.13018	0955	24385-0955	Ear Drops	ML	
	EAR WAX REMOVAL 6.5% DROP	37205	Earwax Removal Aid	05	37205-0457-05	0.13018	0457	37205-0457	Earwax Removal Aid	ML	
	EAR WAX REMOVAL SYSTEM	0904	Carbamide Peroxide	35	0904-6004-35	0.13018	6004	0904-6004	Ear Wax Remover	ML	
	EAR WAX REMOVAL SYSTEM	37205	Earwax Removal Kit	03	37205-0458-03	0.13018	0458	37205-0458	Earwax Removal Kit	ML	
	EARWAX TREATMENT 6.5% DROPS	0536	Carbamide Peroxide	94	0536-1012-94	0.13018	1012	0536-1012	Earwax Treatment Drops	ML	
	EARWAX TREATMENT 6.5% DROPS	0536	Carbamide Peroxide	94	0536-3000-94	0.13018	3000	0536-3000	Ear Wax Treatment	ML	
	ECONAZOLE NITRATE 1% CREAM	0168	Econazole Nitrate	85	0168-0312-85	3.55878	0312	0168-0312	Econazole Nitrate	GM	
