product_ndc	route
0409-7332	Intramuscular
0409-7332	Intravenous
0409-7333	Intravenous
0409-7334	Intravenous
0409-7335	Intravenous
0409-7335	Intramuscular
0409-7336	Intravenous
0409-7337	Intramuscular
0409-7337	Intravenous
0409-7338	Intramuscular
0409-7338	Intravenous
0409-7371	Intravenous
0409-7372	Intravenous
0409-7385	Intravenous
0409-7386	Intravenous
0409-7391	Intravenous
0409-7418	Intravenous
0409-7419	Intravenous
0409-7517	Intravenous
0409-7551	Infiltration
0409-7551	Dental
0409-7600	Infiltration
0409-7600	Dental
0409-7620	Intravenous
0409-7650	Intravenous
0409-7651	Intravenous
0409-7666	Intravenous
0409-7668	Intravenous
0409-7670	Intravenous
0409-7677	Intravenous
0409-7705	Intravenous
0409-7712	Intravenous
0409-7713	Intravenous
0409-7714	Intravenous
0409-7715	Intravenous
0409-7730	Intravenous
0409-7760	Intravenous
0409-7761	Intravenous
0409-7793	Intravenous
0409-7794	Intravenous
0409-7808	Intravenous
0409-7809	Intravenous
0409-7810	Intravenous
0409-7811	Intravenous
0409-7828	Irrigation
0409-7879	Intravenous
0409-7881	Intravenous
0409-7883	Intravenous
0409-7884	Intravenous
0409-7886	Intravenous
0409-7889	Intravenous
0409-7901	Intravenous
0409-7902	Intravenous
0409-7903	Intravenous
0409-7904	Intravenous
0409-7905	Intravenous
0409-7906	Intravenous
0409-7918	Intravenous
0409-7922	Intravenous
0409-7923	Intravenous
0409-7924	Intravenous
0409-7925	Intravenous
0409-7926	Intravenous
0409-7929	Intravenous
0409-7930	Intravenous
0409-7931	Intravenous
0409-7933	Intravenous
0409-7935	Intravenous
0409-7936	Intravenous
0409-7937	Intravenous
0409-7938	Intravenous
0409-7939	Intravenous
0409-7941	Intravenous
0409-7953	Intravenous
0409-7965	Intravenous
0409-7967	Intravenous
0409-7968	Intravenous
0409-7969	Intra-arterial
0409-7972	Irrigation
0409-7973	Irrigation
0409-7974	Irrigation
0409-7975	Irrigation
0409-7981	Urethral
0409-7982	Intravenous
0409-7983	Intravenous
0409-7984	Intravenous
0409-7985	Intravenous
0409-7990	Intravenous
0409-7991	Intravenous
0409-7992	Intravenous
0409-7993	Intravenous
0409-7996	Intravenous
0409-7997	Intravenous
0409-7998	Intravenous
0409-8004	Intravenous
0409-8060	Intravenous
0409-8061	Intravenous
0409-8062	Intravenous
0409-8183	Intravenous
0409-9093	Intravenous
0409-9093	Intramuscular
0409-9094	Intravenous
0409-9094	Intramuscular
0409-9104	Intravenous
0409-9137	Intravenous
0409-9157	Intravenous
0409-9157	Subcutaneous
0409-9157	Intramuscular
0409-9158	Intramuscular
0409-9158	Intravenous
0409-9158	Subcutaneous
0409-9257	Intravenous
0409-9300	Infiltration
0409-9300	Epidural
0409-9301	Epidural
0409-9301	Infiltration
0409-9302	Epidural
0409-9302	Infiltration
0409-9303	Epidural
0409-9303	Infiltration
0409-9366	Dental
0409-9366	Infiltration
0409-9558	Intravenous
0409-9629	Intravenous
0409-9629	Subcutaneous
0409-9629	Intramuscular
0409-9630	Subcutaneous
0409-9630	Intravenous
0409-9630	Intramuscular
0409-9631	Intramuscular
0409-9631	Intravenous
0409-9633	Intravenous
0409-9786	Intravenous
0409-9789	Intravenous
0409-9790	Intravenous
0409-9791	Intravenous
0430-0112	Oral
0430-0114	Oral
0430-0115	Oral
0430-0145	Oral
0430-0170	Oral
0430-0171	Oral
0430-0210	Oral
0430-0215	Oral
0430-0220	Oral
0430-0470	Oral
0430-0471	Oral
0430-0472	Oral
0430-0477	Oral
0430-0478	Oral
0430-0544	Oral
0430-0720	Oral
0430-0721	Oral
0430-0722	Oral
0430-0752	Oral
0430-0753	Oral
0430-0783	Oral
0430-0979	Oral
0430-3020	Topical
0430-3030	Topical
0430-3230	Topical
0430-3240	Topical
0430-3754	Vaginal
0430-6201	Vaginal
0430-6202	Vaginal
0456-0040	Oral
0456-0045	Oral
0456-0050	Oral
0456-0055	Oral
0456-0060	Oral
0456-0095	Oral
0456-0400	Intravenous
0456-0457	Oral
0456-0458	Oral
0456-0459	Oral
0456-0460	Oral
0456-0461	Oral
0456-0462	Oral
0456-0463	Oral
0456-0464	Oral
0456-0600	Intravenous
0456-0679	Oral
0456-0800	Respiratory (inhalation)
0456-1100	Oral
0456-1110	Oral
0456-1120	Oral
0456-1140	Oral
0456-1201	Oral
0456-1202	Oral
0456-1402	Oral
0456-1405	Oral
0456-1410	Oral
0456-1420	Oral
0456-1500	Oral
0456-1510	Oral
0456-1512	Oral
0456-1525	Oral
0456-1550	Oral
0456-2005	Oral
0456-2010	Oral
0456-2020	Oral
0456-2101	Oral
0456-2202	Oral
0456-2212	Oral
0456-2220	Oral
0456-2240	Oral
0456-2280	Oral
0456-3200	Oral
0456-3202	Oral
0456-3205	Oral
0456-3210	Oral
0456-3330	Oral
0456-3400	Oral
0456-3407	Oral
0456-3414	Oral
0456-3421	Oral
0456-3428	Oral
0456-4010	Oral
0456-4020	Oral
0456-4040	Oral
0456-4123	Vaginal
0456-4300	Oral
0462-0263	Topical
0462-0264	Topical
0469-0125	Oral
0469-0607	Oral
0469-0617	Oral
0469-0647	Oral
0469-0657	Oral
0469-0677	Oral
0469-0687	Oral
0469-0871	Intravenous
0469-2601	Oral
0469-2602	Oral
0469-3016	Oral
0469-3051	Intravenous
0469-3211	Intravenous
0469-3250	Intravenous
0469-3525	Intravenous
0469-3575	Intravenous
0469-5201	Topical
0469-5202	Topical
0469-6501	Intravenous
0469-8234	Intravenous
0472-0013	Oral
0472-0066	Topical
0472-0082	Oral
0472-0094	Topical
0472-0117	Topical
0472-0163	Topical
0472-0166	Topical
0472-0179	Topical
0472-0220	Vaginal
0472-0235	Oral
0472-0242	Topical
0472-0321	Topical
0472-0337	Topical
0472-0339	Topical
0472-0343	Topical
0472-0345	Topical
0472-0370	Topical
0472-0371	Topical
0472-0379	Topical
0472-0380	Topical
0472-0381	Topical
0472-0382	Topical
0472-0383	Oral
0472-0403	Topical
0472-0404	Topical
0472-0730	Vaginal
0472-0735	Topical
0472-0803	Topical
0472-0804	Topical
0472-0829	Topical
0472-0882	Auricular (otic)
0472-0911	Topical
0472-0912	Topical
0472-1030	Oral
0472-1105	Topical
0472-1200	Rectal
0472-1201	Rectal
0472-1202	Rectal
0472-1203	Rectal
0472-1255	Oral
0472-1261	Oral
0472-1262	Oral
0472-1263	Oral
0472-1270	Oral
0472-1326	Topical
0472-1400	Oral
0472-1627	Oral
0472-1628	Oral
0472-1629	Oral
0472-1630	Oral
0472-1736	Vaginal
0472-1738	Vaginal
0472-3901	Topical
0472-5002	Oral
0472-5242	Topical
0482-0061	Oral
0482-0062	Oral
0485-0051	Oral
0485-0057	Oral
0485-0080	Oral
0485-0082	Oral
0485-0085	Oral
0485-0094	Oral
0485-0096	Oral
0485-0098	Oral
0485-0151	Oral
0485-0155	Oral
0485-0171	Oral
0485-0202	Oral
0485-0204	Oral
0485-0206	Oral
0485-0208	Oral
0485-0210	Oral
0485-0250	Oral
0485-0254	Oral
0486-1111	Oral
0487-0201	Respiratory (inhalation)
0487-0301	Respiratory (inhalation)
0487-2784	Respiratory (inhalation)
0487-5901	Respiratory (inhalation)
0487-9501	Respiratory (inhalation)
0487-9601	Respiratory (inhalation)
0487-9701	Respiratory (inhalation)
0487-9801	Respiratory (inhalation)
0487-9901	Respiratory (inhalation)
0487-9904	Respiratory (inhalation)
0496-0777	Topical
0498-0113	Oral
0517-0020	Intravenous
0517-0031	Intramuscular
0517-0032	Intramuscular
0517-0033	Subcutaneous
0517-0033	Intravenous
0517-0033	Intramuscular
0517-0034	Intramuscular
0517-0034	Subcutaneous
0517-0034	Intravenous
0517-0101	Subcutaneous
0517-0101	Intravenous
0517-0101	Intramuscular
0517-0130	Intramuscular
0517-0131	Intramuscular
0517-0131	Intravenous
0517-0132	Intravenous
0517-0134	Intravenous
0517-0234	Intravenous
0517-0299	Intramuscular
0517-0299	Subcutaneous
0517-0299	Intravenous
0517-0301	Intravenous
0517-0310	Intravenous
0517-0372	Intravenous
0517-0373	Intravenous
0517-0375	Intramuscular
0517-0375	Intravenous
0517-0401	Intravenous
0517-0401	Intramuscular
0517-0401	Subcutaneous
0517-0405	Intravenous
0517-0405	Subcutaneous
0517-0405	Intramuscular
0517-0410	Intramuscular
0517-0410	Subcutaneous
0517-0510	Subcutaneous
0517-0510	Intramuscular
0517-0650	Intravenous
0517-0720	Intralesional
0517-0720	Intramuscular
0517-0720	Intra-articular
0517-0725	Intramuscular
0517-0725	Intravenous
0517-0730	Epidural
0517-0731	Epidural
0517-0735	Intravenous
0517-0740	Intramuscular
0517-0740	Intravenous
0517-0745	Intravenous
0517-0746	Intravenous
0517-0750	Intramuscular
0517-0770	Intravenous
0517-0771	Intravenous
0517-0780	Intravenous
0517-0781	Intravenous
0517-0785	Intramuscular
0517-0785	Intravenous
0517-0790	Intramuscular
0517-0805	Intravenous
0517-0805	Intramuscular
0517-0805	Subcutaneous
0517-0830	Ophthalmic
0517-0901	Intravenous
0517-0901	Intramuscular
0517-0955	Intramuscular
0517-0960	Intravenous
0517-1010	Intramuscular
0517-1010	Subcutaneous
0517-1010	Intravenous
0517-1020	Intramuscular
0517-1020	Subcutaneous
0517-1045	Intravenous
0517-1071	Subcutaneous
0517-1071	Intracardiac
0517-1071	Intravenous
0517-1071	Intramuscular
0517-1130	Intramuscular
0517-1130	Subcutaneous
0517-1130	Intravenous
0517-1355	Intravenous
0517-2000	Intravenous
0517-2020	Intravenous
0517-2050	Intravenous
0517-2053	Intravenous
0517-2064	Intravenous
0517-2096	Intravenous
0517-2305	Intravenous
0517-2310	Intravenous
0517-2315	Intravenous
0517-2325	Intravenous
0517-2340	Intravenous
0517-2350	Intravenous
0517-2502	Intravenous
0517-2502	Intramuscular
0517-2602	Intramuscular
0517-2602	Intravenous
0517-2610	Intramuscular
0517-2610	Intravenous
0517-2650	Intramuscular
0517-2650	Intravenous
0517-2710	Intravenous
0517-2810	Intravenous
0517-2930	Intravenous
0517-2930	Subcutaneous
0517-3005	Intravenous
0517-3010	Intravenous
0517-3020	Intravenous
0517-3050	Intravenous
0517-3065	Intravenous
0517-3120	Intravenous
0517-3405	Intravenous
0517-3415	Intravenous
0517-3450	Intravenous
0517-3900	Intravenous
0517-3950	Intravenous
0517-4002	Intravenous
0517-4010	Intravenous
0517-4050	Intravenous
0517-4201	Intramuscular
0517-4601	Intravenous
0517-4601	Intramuscular
0517-4602	Intramuscular
0517-4602	Intravenous
0517-4605	Intramuscular
0517-4605	Intravenous
0517-4620	Intravenous
0517-4620	Intramuscular
0517-4810	Intravenous
0517-4901	Intramuscular
0517-4901	Intralesional
0517-4901	Intravenous
0517-4901	Soft Tissue
0517-4901	Intra-articular
0517-4905	Intravenous
0517-4905	Soft Tissue
0517-4905	Intralesional
0517-4905	Intra-articular
0517-4905	Intramuscular
0517-4930	Intra-articular
0517-4930	Intravenous
0517-4930	Soft Tissue
0517-4930	Intralesional
0517-4930	Intramuscular
0517-5023	Intravenous
0517-5024	Intravenous
0517-5034	Intravenous
0517-5050	Intramuscular
0517-5050	Intravenous
0517-5050	Subcutaneous
0517-5601	Intramuscular
0517-5602	Intramuscular
0517-5610	Intramuscular
0517-5702	Intravenous
0517-5704	Intravenous
0517-5710	Intravenous
0517-6110	Intravenous
0517-6202	Intravenous
0517-6210	Intravenous
0517-6310	Intravenous
0517-6510	Intravenous
0517-6610	Intravenous
0517-6902	Intravenous
0517-6902	Intramuscular
0517-7201	Intravenous
0517-7210	Intravenous
0517-7410	Intravenous
0517-7504	Respiratory (inhalation)
0517-7510	Respiratory (inhalation)
0517-7604	Respiratory (inhalation)
0517-7610	Respiratory (inhalation)
0517-7630	Respiratory (inhalation)
0517-8105	Intravenous
0517-8201	Intravenous
0517-8210	Intravenous
0517-8510	Intravenous
0517-8571	Intraspinal
0517-8575	Intraspinal
0517-8880	Nasal
0517-8905	Intravenous
0517-9120	Intravenous
0517-9203	Intravenous
0517-9310	Intravenous
0517-9702	Intravenous
0517-9702	Intramuscular
0527-0586	Oral
0527-0597	Oral
0527-1050	Oral
0527-1109	Oral
0527-1231	Oral
0527-1282	Oral
0527-1301	Oral
0527-1308	Oral
0527-1310	Oral
0527-1311	Oral
0527-1312	Oral
0527-1313	Oral
0527-1315	Oral
0527-1318	Oral
0527-1324	Oral
0527-1325	Oral
0527-1326	Oral
0527-1330	Oral
0527-1335	Oral
0527-1336	Oral
0527-1337	Oral
0527-1338	Oral
0527-1341	Oral
0527-1342	Oral
0527-1343	Oral
0527-1344	Oral
0527-1345	Oral
0527-1346	Oral
0527-1347	Oral
0527-1349	Oral
0527-1350	Oral
0527-1351	Oral
0527-1352	Oral
0527-1353	Oral
0527-1354	Oral
0527-1355	Oral
0527-1366	Oral
0527-1367	Oral
0527-1368	Oral
0527-1369	Oral
0527-1370	Oral
0527-1371	Oral
0527-1372	Oral
0527-1373	Oral
0527-1374	Oral
0527-1375	Oral
0527-1376	Oral
0527-1377	Oral
0527-1378	Oral
0527-1379	Oral
0527-1380	Oral
0527-1381	Oral
0527-1382	Oral
0527-1383	Oral
0527-1392	Oral
0527-1393	Oral
0527-1394	Oral
0527-1395	Oral
0527-1396	Oral
0527-1397	Oral
0527-1398	Oral
0527-1407	Oral
0527-1413	Oral
0527-1414	Oral
0527-1425	Oral
0527-1426	Oral
0527-1438	Oral
0527-1445	Oral
0527-1461	Oral
0527-1462	Oral
0527-1463	Oral
0527-1475	Oral
0527-1477	Oral
0527-1535	Oral
0527-1537	Oral
0527-1552	Oral
0527-1632	Oral
0527-1635	Oral
0527-1638	Oral
0527-1639	Oral
0527-1695	Oral
0527-1698	Oral
0527-1699	Oral
0527-1704	Oral
0527-1726	Intravenous
0527-1726	Intramuscular
0527-1727	Oral
0527-1728	Topical
0527-1729	Topical
0527-1742	Oral
0527-1743	Oral
0527-1768	Oral
0527-1774	Oral
0527-1788	Oral
0527-1789	Oral
0527-1790	Oral
0527-1791	Oral
0527-1905	Oral
0536-0015	Oral
0536-0025	Oral
0536-0091	Oral
0536-0122	Oral
0536-0355	Oral
0536-0370	Oral
0536-0590	Oral
0536-0600	Oral
0536-0770	Oral
0536-0810	Topical
0536-0815	Topical
0536-0825	Oral
0536-0901	Ophthalmic
0536-0940	Ophthalmic
0536-0970	Oral
0536-1000	Oral
0536-1001	Oral
0536-1002	Ophthalmic
0536-1003	Oral
0536-1004	Oral
0536-1006	Oral
0536-1007	Oral
0536-1008	Oral
0536-1010	Oral
0536-1011	Oral
0536-1013	Nasal
0536-1015	Oral
0536-1018	Oral
0536-1019	Oral
0536-1022	Oral
0536-1023	Oral
0536-1024	Oral
0536-1025	Oral
0536-1034	Oral
0536-1048	Oral
0536-1055	Topical
0536-1056	Topical
0536-1057	Topical
0536-1058	Topical
0536-1062	Oral
0536-1065	Oral
0536-1275	Oral
0536-1355	Rectal
0536-1362	Buccal
0536-1372	Buccal
0536-1389	Rectal
0536-1500	Oral
0536-1810	Oral
0536-1850	Oral
0536-1875	Oral
0536-1881	Oral
0536-1945	Oral
0536-1962	Topical
0536-1970	Ophthalmic
0536-1995	Topical
0536-2220	Oral
0536-2302	Topical
0536-2310	Oral
0536-2425	Oral
0536-2470	Oral
0536-2525	Topical
0536-3000	Auricular (otic)
0536-3029	Buccal
0536-3030	Buccal
0536-3086	Oral
0536-3112	Buccal
0536-3113	Buccal
0536-3218	Oral
0536-3222	Oral
0536-3231	Oral
0536-3233	Oral
0536-3297	Oral
0536-3305	Oral
0536-3313	Oral
0536-3381	Oral
0536-3386	Buccal
0536-3387	Buccal
0536-3404	Buccal
0536-3405	Buccal
0536-3414	Oral
0536-3467	Oral
0536-3479	Oral
0536-3504	Oral
0536-3587	Oral
0536-3594	Oral
0536-3597	Oral
0536-3603	Oral
0536-3604	Oral
0536-3605	Oral
0536-3606	Oral
0536-3607	Oral
0536-3755	Oral
0536-3756	Oral
0536-3757	Oral
0536-3772	Oral
0536-3985	Oral
0536-3990	Oral
0536-4086	Oral
0536-4088	Oral
0536-4089	Topical
0536-4092	Topical
0536-4113	Oral
0536-4122	Oral
0536-4301	Oral
0536-4306	Oral
0536-4391	Oral
0536-4444	Oral
0536-4445	Oral
0536-4533	Oral
0536-4534	Oral
0536-4540	Oral
0536-4544	Oral
0536-4742	Oral
0536-5005	Nasal
0536-5105	Topical
0536-5108	Topical
0536-5150	Topical
0536-5700	Topical
0536-5894	Transdermal
0536-5895	Transdermal
0536-5896	Transdermal
0536-5904	Oral
0536-6237	Ophthalmic
0536-6550	Ophthalmic
0536-7415	Rectal
0548-1004	Parenteral
0548-1016	Parenteral
0548-1052	Parenteral
0548-1140	Parenteral
0548-1190	Parenteral
0548-1240	Parenteral
0548-1469	Parenteral
0548-1911	Subcutaneous
0548-1911	Intravenous
0548-2004	Parenteral
0548-2016	Parenteral
0548-2052	Parenteral
0548-2190	Parenteral
0548-3011	Topical
0548-3012	Topical
0548-3013	Topical
0548-3015	Topical
0548-3301	Parenteral
0548-3304	Parenteral
0548-3316	Parenteral
0548-3331	Parenteral
0548-3339	Parenteral
0548-3352	Parenteral
0548-3369	Parenteral
0548-3390	Parenteral
0548-3391	Intravenous
0548-3391	Subcutaneous
0548-5601	Subcutaneous
0548-5602	Subcutaneous
0548-5603	Subcutaneous
0548-5604	Subcutaneous
0548-5605	Subcutaneous
0548-5606	Subcutaneous
0548-5607	Subcutaneous
0548-5631	Subcutaneous
0548-5632	Subcutaneous
0548-5633	Subcutaneous
0548-5634	Subcutaneous
0548-5635	Subcutaneous
0548-5636	Subcutaneous
0548-5637	Subcutaneous
0548-5900	Intravenous
0548-5900	Intramuscular
0548-6300	Topical
0548-9061	Parenteral
0548-9090	Subcutaneous
0555-0033	Oral
0555-0066	Oral
0555-0071	Oral
0555-0094	Oral
0555-0095	Oral
0555-0096	Oral
0555-0097	Oral
0555-0098	Oral
0555-0138	Oral
0555-0139	Oral
0555-0140	Oral
0555-0158	Oral
0555-0159	Oral
0555-0171	Oral
0555-0211	Oral
0555-0252	Oral
0555-0285	Oral
0555-0286	Oral
0555-0302	Oral
0555-0323	Oral
0555-0324	Oral
0555-0344	Oral
0555-0381	Oral
0555-0382	Oral
0555-0392	Oral
0555-0483	Oral
0555-0484	Oral
0555-0485	Oral
0555-0513	Oral
0555-0572	Oral
0555-0588	Oral
0555-0589	Oral
0555-0590	Oral
0555-0594	Oral
0555-0595	Oral
0555-0606	Oral
0555-0607	Oral
0555-0633	Oral
0555-0634	Oral
0555-0635	Oral
0555-0658	Oral
0555-0701	Oral
0555-0702	Oral
0555-0715	Oral
0555-0733	Oral
0555-0762	Oral
0555-0763	Oral
0555-0764	Oral
0555-0765	Oral
0555-0766	Oral
0555-0767	Oral
0555-0768	Oral
0555-0778	Oral
0555-0779	Oral
0555-0787	Oral
0555-0788	Oral
0555-0789	Oral
0555-0790	Oral
0555-0791	Oral
0555-0792	Oral
0555-0808	Oral
0555-0831	Oral
0555-0832	Oral
0555-0833	Oral
0555-0834	Oral
0555-0835	Oral
0555-0859	Oral
0555-0860	Oral
0555-0861	Oral
0555-0869	Oral
0555-0872	Oral
0555-0873	Oral
0555-0874	Oral
0555-0877	Oral
0555-0882	Oral
0555-0886	Oral
0555-0887	Oral
0555-0899	Oral
0555-0902	Oral
0555-0923	Oral
0555-0925	Oral
0555-0926	Oral
0555-0954	Oral
0555-0955	Oral
0555-0956	Oral
0555-0997	Oral
0555-1009	Transdermal
0555-1010	Transdermal
0555-1011	Transdermal
0555-1020	Oral
0555-1021	Oral
0555-1022	Oral
0555-1054	Oral
0555-1055	Oral
0555-1056	Oral
0555-1057	Oral
0555-1883	Oral
0555-9025	Oral
0555-9026	Oral
0555-9027	Oral
0555-9028	Oral
0573-0133	Oral
0573-0134	Oral
0573-0150	Oral
0573-0151	Oral
0573-0154	Oral
0573-0160	Oral
0573-0161	Oral
0573-0164	Oral
0573-0165	Oral
0573-0166	Oral
0573-0167	Oral
0573-0168	Oral
0573-0169	Oral
0573-0170	Oral
0573-0171	Oral
0573-0174	Oral
0573-0175	Oral
0573-0179	Oral
0573-0180	Oral
0573-0184	Oral
0573-0187	Oral
0573-0188	Oral
0573-0196	Oral
0573-0207	Oral
0573-0213	Topical
0573-0215	Topical
0573-0216	Topical
0573-0218	Topical
0573-0223	Topical
0573-0225	Topical
0573-0232	Oral
0573-0246	Topical
0573-0290	Oral
0573-0556	Topical
0573-0558	Topical
0573-0559	Topical
0573-1191	Nasal
0573-1238	Oral
0573-1900	Topical
0573-1901	Topical
0573-1905	Topical
0573-1906	Topical
0573-1911	Topical
0573-1912	Topical
0573-1915	Topical
0573-1916	Topical
0573-1920	Topical
0573-1925	Topical
0573-1926	Topical
0573-1927	Oral
0573-1928	Topical
0573-1929	Topical
0573-1930	Topical
0573-1934	Topical
0573-1935	Topical
0573-1940	Topical
0573-1993	Topical
0573-1999	Topical
0573-2400	Oral
0573-2620	Oral
0573-2621	Oral
0573-2660	Oral
0573-2830	Topical
0573-2840	Topical
0573-2841	Topical
0573-2868	Topical
0573-2869	Topical
0573-2871	Topical
0573-2880	Rectal
0573-2883	Rectal
0573-2952	Oral
0574-0014	Topical
0574-0016	Topical
0574-0018	Oral
0574-0067	Topical
0574-0069	Oral
0574-0106	Oral
0574-0107	Oral
0574-0110	Oral
0574-0112	Oral
0574-0113	Oral
0574-0115	Oral
0574-0116	Oral
0574-0118	Oral
0574-0120	Oral
0574-0121	Oral
0574-0122	Oral
0574-0129	Oral
0574-0133	Oral
0574-0134	Oral
0574-0135	Oral
0574-0145	Oral
0574-0147	Oral
0574-0148	Oral
0574-0150	Oral
0574-0152	Oral
0574-0153	Oral
0574-0159	Oral
0574-0163	Oral
0574-0180	Oral
0574-0181	Oral
0574-0193	Oral
0574-0194	Oral
0574-0195	Oral
0574-0214	Oral
0574-0215	Oral
0574-0220	Oral
0574-0222	Oral
0574-0223	Oral
0574-0240	Oral
0574-0241	Oral
0574-0242	Oral
0574-0247	Oral
0574-0250	Sublingual
0574-0251	Oral
0574-0292	Oral
0574-0412	Oral
0574-0420	Not Applicable
0574-0425	Oral
0574-0426	Oral
0574-0427	Nasogastric
0574-0427	Oral
0574-0428	Oral
0574-0601	Topical
0574-0611	Topical
0574-0618	Oral
0574-0805	Intravenous
0574-0815	Intravenous
0574-0820	Intramuscular
0574-0821	Intramuscular
0574-0823	Oral
0574-0827	Intramuscular
0574-0840	Intravenous
0574-0850	Intravenous
0574-0850	Intramuscular
0574-0850	Subcutaneous
0574-0858	Intravenous
0574-0858	Intramuscular
0574-0866	Intravenous
0574-0870	Intramuscular
0574-0872	Intramuscular
0574-1103	Oral
0574-2002	Oral
0574-2002	Rectal
0574-2003	Oral
0574-2004	Oral
0574-2004	Rectal
0574-2008	Topical
0574-2020	Rectal
0574-2021	Topical
0574-2103	Topical
0574-2121	Topical
0574-3312	Oral
0574-4005	Ophthalmic
0574-4009	Ophthalmic
0574-4022	Ophthalmic
0574-4024	Ophthalmic
0574-4025	Ophthalmic
0574-4072	Ophthalmic
0574-4100	Auricular (otic)
0574-4102	Ophthalmic
0574-4103	Auricular (otic)
0574-4160	Ophthalmic
0574-4190	Ophthalmic
0574-7034	Rectal
0574-7036	Rectal
0574-7040	Rectal
0574-7045	Rectal
0574-7050	Rectal
0574-7090	Rectal
0574-7093	Rectal
0574-7110	Rectal
0574-7112	Rectal
0574-7114	Rectal
0574-7116	Rectal
0574-7224	Rectal
0574-7226	Rectal
0574-7234	Rectal
0574-7236	Rectal
0574-9119	Topical
0574-9838	Oral
0575-6200	Oral
0591-0149	Intravenous
0591-0240	Oral
0591-0241	Oral
0591-0242	Oral
0591-0338	Oral
0591-0339	Oral
0591-0343	Oral
0591-0345	Oral
0591-0347	Oral
0591-0348	Oral
0591-0349	Oral
0591-0369	Oral
0591-0370	Oral
0591-0371	Oral
0591-0372	Oral
0591-0385	Oral
0591-0387	Oral
0591-0388	Oral
0591-0395	Oral
0591-0396	Oral
0591-0397	Oral
0591-0398	Oral
0591-0404	Oral
0591-0405	Oral
0591-0406	Oral
0591-0407	Oral
0591-0408	Oral
0591-0409	Oral
0591-0410	Oral
0591-0411	Oral
0591-0414	Oral
0591-0415	Oral
0591-0416	Oral
0591-0424	Oral
0591-0426	Oral
0591-0444	Oral
0591-0453	Oral
0591-0460	Oral
0591-0461	Oral
0591-0462	Oral
0591-0463	Oral
0591-0487	Oral
0591-0488	Oral
0591-0502	Oral
0591-0503	Oral
0591-0517	Oral
0591-0528	Oral
0591-0540	Oral
0591-0582	Oral
0591-0583	Oral
0591-0605	Oral
0591-0606	Oral
0591-0607	Oral
0591-0657	Oral
0591-0658	Oral
0591-0676	Oral
0591-0698	Oral
0591-0718	Oral
0591-0737	Oral
0591-0744	Oral
0591-0745	Oral
0591-0749	Oral
0591-0780	Oral
0591-0781	Oral
0591-0782	Oral
0591-0783	Oral
0591-0794	Oral
0591-0795	Oral
0591-0796	Oral
0591-0800	Oral
0591-0801	Oral
0591-0810	Topical
0591-0824	Oral
0591-0825	Oral
0591-0844	Oral
0591-0845	Oral
0591-0853	Oral
0591-0860	Oral
0591-0861	Oral
0591-0862	Oral
0591-0885	Oral
0591-0900	Oral
0591-0932	Oral
0591-0933	Oral
0591-1117	Oral
0591-1118	Oral
0591-1119	Oral
0591-1159	Topical
0591-2044	Oral
0591-2067	Oral
0591-2070	Topical
0591-2075	Oral
0591-2102	Oral
0591-2109	Oral
0591-2157	Topical
0591-2158	Topical
0591-2159	Topical
0591-2160	Rectal
0591-2161	Rectal
0591-2190	Irrigation
0591-2230	Oral
0591-2231	Oral
0591-2281	Oral
0591-2282	Oral
0591-2315	Oral
0591-2316	Oral
0591-2317	Oral
0591-2318	Oral
0591-2319	Oral
0591-2368	Oral
0591-2369	Oral
0591-2404	Oral
0591-2464	Oral
0591-2465	Oral
0591-2466	Oral
0591-2467	Oral
0591-2468	Oral
0591-2469	Oral
0591-2470	Oral
0591-2472	Oral
0591-2473	Oral
0591-2474	Oral
0591-2475	Oral
0591-2508	Intravenous
0591-2520	Oral
0591-2521	Oral
0591-2522	Oral
0591-2605	Oral
0591-2607	Oral
0591-2609	Oral
0591-2610	Oral
0591-2611	Oral
0591-2612	Oral
0591-2640	Oral
0591-2641	Oral
0591-2693	Oral
0591-2708	Oral
0591-2715	Oral
0591-2716	Oral
0591-2717	Oral
0591-2718	Oral
0591-2719	Oral
0591-2720	Oral
0591-2736	Respiratory (inhalation)
0591-2737	Respiratory (inhalation)
0591-2738	Respiratory (inhalation)
0591-2782	Oral
0591-2783	Oral
0591-2784	Oral
0591-2785	Oral
0591-2786	Oral
0591-2788	Oral
0591-2789	Oral
0591-2790	Oral
0591-2880	Oral
0591-2882	Oral
0591-2884	Oral
0591-2886	Oral
0591-2888	Intramuscular
0591-2918	Respiratory (inhalation)
0591-2919	Respiratory (inhalation)
0591-2920	Respiratory (inhalation)
0591-2932	Oral
0591-3120	Oral
0591-3128	Intramuscular
0591-3137	Oral
0591-3138	Oral
0591-3153	Oral
0591-3159	Oral
0591-3169	Oral
0591-3170	Oral
0591-3171	Oral
0591-3172	Oral
0591-3173	Oral
0591-3193	Oral
0591-3194	Oral
0591-3196	Vaginal
0591-3197	Vaginal
0591-3198	Transdermal
0591-3202	Oral
0591-3203	Oral
0591-3204	Topical
0591-3205	Oral
0591-3206	Oral
0591-3207	Oral
0591-3208	Oral
0591-3209	Oral
0591-3210	Oral
0591-3211	Oral
0591-3212	Transdermal
0591-3213	Transdermal
0591-3214	Transdermal
0591-3219	Oral
0591-3221	Intramuscular
0591-3222	Intravenous
0591-3222	Intramuscular
0591-3223	Intramuscular
0591-3228	Oral
0591-3248	Oral
0591-3249	Oral
0591-3256	Oral
0591-3271	Oral
0591-3272	Oral
